,language,story,r
0,du,0,0.6736587818896878
1,du,1,0.7094521601129722
2,du,2,0.7545599272289342
3,du,3,0.6583848322717242
4,du,4,0.7233924737888607
5,du,5,0.5998129323448537
6,du,6,0.7399139489912591
7,du,7,0.6987301205931328
8,du,8,0.76099513373161
9,du,9,0.629674825046596
10,du,10,0.6443246963739183
11,du,11,0.7174811135852691
12,it,0,0.6766601040219694
13,it,1,0.7221186376704618
14,it,2,0.7205799403554995
15,it,3,0.7301170615691025
16,it,4,0.6832892202262837
17,it,5,0.7075820229398033
18,it,6,0.6995564020870414
19,it,7,0.7321862595902088
20,it,8,0.8007245717483744
21,it,9,0.6820023559372818
22,it,10,0.7514520320546895
23,it,11,0.7563099671639694
24,en,0,0.6664024998694671
25,en,1,0.6268446193489217
26,en,2,0.655781518315713
27,en,3,0.6793536267560187
28,en,4,0.6484835201125957
29,en,5,0.7017243056613285
30,en,6,0.7042945041882841
31,en,7,0.7027578616429622
32,en,8,0.6383491571197423
33,en,9,0.6016142629609647
34,en,10,0.7055095972850927
35,en,11,0.7148279011823178
36,no,0,0.7046764492980189
37,no,1,0.6071734055633431
38,no,2,0.7731356714245998
39,no,3,0.6649352783767116
40,no,4,0.7855256718983605
41,no,5,0.7430508358431611
42,no,6,0.7923525364726899
43,no,7,0.8113554756889196
44,no,8,0.7450910134233705
45,no,9,0.7219420374690682
46,no,10,0.8147619611967711
47,no,11,0.7952723921118552
48,sp,0,0.7137031217631281
49,sp,1,0.7643511216452421
50,sp,2,0.7801601687190525
51,sp,3,0.7085376461354479
52,sp,4,0.7323680082253224
53,sp,5,0.7812693640983599
54,sp,6,0.7441576739687574
55,sp,7,0.7861793616237234
56,sp,8,0.6967711488140135
57,sp,9,0.6915574476737413
58,sp,10,0.7663038804423228
59,sp,11,0.7852916830428434
60,tr,0,0.7206689512920661
61,tr,1,0.660046330359443
62,tr,2,0.6321395886269248
63,tr,3,0.6114503339234523
64,tr,4,0.6215901604150975
65,tr,5,0.5492979372781455
66,tr,6,0.6042562354269422
67,tr,7,0.5240001857360405
68,tr,8,0.5279053300638326
69,tr,9,0.6517276780252306
70,tr,10,0.6683814703662171
71,tr,11,0.6252816819340549
