,language,story,r
0,du,0,0.5719412109572714
1,du,1,0.694267046387218
2,du,2,0.708784958442978
3,du,3,0.6539078482868699
4,du,4,0.6766175601711958
5,du,5,0.5107356831064953
6,du,6,0.700064297972157
7,du,7,0.6551600254928971
8,du,8,0.688931945791367
9,du,9,0.5568754383711132
10,du,10,0.6036542861387818
11,du,11,0.661514178614217
12,it,0,0.6605053247647313
13,it,1,0.6276271956475207
14,it,2,0.6082592738464501
15,it,3,0.6937149101877236
16,it,4,0.7169508701503232
17,it,5,0.6808251823604073
18,it,6,0.6354803277576694
19,it,7,0.65566491268336
20,it,8,0.7715151227067923
21,it,9,0.5654291360704521
22,it,10,0.6666327888487791
23,it,11,0.7114732021438631
24,en,0,0.6239632889599961
25,en,1,0.6186467177520251
26,en,2,0.5689308164739542
27,en,3,0.6584654249435598
28,en,4,0.588734453693787
29,en,5,0.6363969978484257
30,en,6,0.6274498817431688
31,en,7,0.6200901593168545
32,en,8,0.6281462153487636
33,en,9,0.5926899071907391
34,en,10,0.6705331962661139
35,en,11,0.6424220563542347
36,no,0,0.6940230397129834
37,no,1,0.6208238642185321
38,no,2,0.7463254261277981
39,no,3,0.6316448050465138
40,no,4,0.692438851281041
41,no,5,0.7011515001767736
42,no,6,0.6903179260106574
43,no,7,0.7251944937250896
44,no,8,0.7090685700557441
45,no,9,0.73795678776074
46,no,10,0.7371136949394647
47,no,11,0.7675133394795755
48,sp,0,0.6989444594059963
49,sp,1,0.6678708668162221
50,sp,2,0.7156954381873664
51,sp,3,0.7018692340769079
52,sp,4,0.6513449313268231
53,sp,5,0.699210556280076
54,sp,6,0.6657662745067984
55,sp,7,0.6403570595497661
56,sp,8,0.5347527503464012
57,sp,9,0.5908033128271154
58,sp,10,0.7082443412587446
59,sp,11,0.692557459236606
60,tr,0,0.5512044206282265
61,tr,1,0.5598951503396568
62,tr,2,0.5347056549397964
63,tr,3,0.5628854897838321
64,tr,4,0.513833697634221
65,tr,5,0.4884314706007039
66,tr,6,0.5344513753392649
67,tr,7,0.40549957469765335
68,tr,8,0.37057541935827987
69,tr,9,0.5558966396112703
70,tr,10,0.48294665761896194
71,tr,11,0.6318372088641269
