sentence,log-prob-pcfg_mean,rating_gram_mean,rating_frequency_mean,rating_conversational_mean,dep_length_mean,avg_word_freq_zipf,avg_word_length
Sometimes he stood up for exercise.,-9.934057142857098,6.5384615384615,4.1176470588235,4.0,1.5714285714285714,5.77,4.833333333333333
Sophia was asleep on the sofa.,-11.2978414285714,6.9444444444444,5.6470588235294,5.0588235294118,1.7142857142857142,5.555,4.0
"Sparrows and pigeons, no other birds.",-12.1637375,5.1875,2.7333333333333,3.625,2.75,5.136666666666667,5.0
Spray and vapor filled the void.,-13.37357,6.75,2.4666666666667,2.1875,1.7142857142857142,5.265000000000001,4.333333333333333
State your name for the Council.,-11.1794642857143,6.7,3.6666666666667,4.5714285714286,1.8571428571428572,6.289999999999999,4.333333333333333
Stir-fried egg noodles with assorted vegetables.,-13.6657914285714,6.0625,4.7142857142857,4.1176470588235,1.5555555555555556,4.351428571428571,5.857142857142857
"Strangely, I did not feel nervous.",-8.30322625,6.9444444444444,6.0714285714286,5.5714285714286,2.25,5.583333333333333,4.5
Such study may take many forms.,-10.18211,5.2352941176471,3.9230769230769,2.7333333333333,1.4285714285714286,5.6066666666666665,4.166666666666667
Sugar would help restore our energy.,-9.75127,6.8333333333333,5.0714285714286,4.7142857142857,1.5714285714285714,5.375,5.0
Sunday School classes begin at 9:30am.,-13.13172,6.75,5.4285714285714,5.1764705882353,1.1428571428571428,4.866666666666666,5.333333333333333
Supply and installation of steel pilings.,-12.8477,5.6,2.4666666666667,2.2142857142857,1.8571428571428572,5.108333333333333,5.833333333333333
Suppose Lauren comes looking for us??,-12.5890825,5.9411764705882,4.5294117647059,5.5,2.625,5.419999999999999,5.0
"Surface texture; Smooth, sandy or rough.",-12.7328,4.8333333333333,4.0,1.7333333333333,1.8888888888888888,4.73,5.333333333333333
Sussex also acquired Spy in 1994.,-10.9725685714286,6.25,2.0588235294118,1.7333333333333,1.5714285714285714,5.0616666666666665,4.5
Sweaty hair clinging to his forehead.,-13.5726657142857,5.4444444444444,4.7142857142857,3.5714285714286,1.4285714285714286,4.968333333333333,5.166666666666667
Take 1 leaf of Aloe Vera.,-13.0804914285714,6.4705882352941,2.6470588235294,2.5,1.8571428571428572,5.051666666666667,3.1666666666666665
Take me to a computer terminal.,-9.9897557142857,6.9444444444444,4.4285714285714,4.6428571428571,2.142857142857143,6.078333333333333,4.166666666666667
Talk about a wild goose chase....,-12.7042625,5.9090909090909,5.5625,6.25,2.2857142857142856,5.376666666666666,4.0
Taste that fowl and those fish.,-13.0976514285714,6.1538461538462,2.3529411764706,2.75,2.0,5.491666666666666,4.166666666666667
Tell them I needed a rest.,-10.8948871428571,6.4545454545455,5.9375,5.6666666666667,2.0,6.096666666666667,3.3333333333333335
Terms of the transaction weren't disclosed.,-7.6621375,6.7058823529412,3.7647058823529,4.2222222222222,1.75,5.451428571428571,5.285714285714286
Thank you all for your attention.,-11.8165271428571,6.8235294117647,6.6153846153846,6.0,2.0,6.271666666666667,4.5
Thank you or your feed back.,-12.8259985714286,4.0,3.0588235294118005,2.8125,2.4285714285714284,6.04,3.6666666666666665
That Jaguar could really barrel along.,-12.1797428571429,6.5294117647059,3.6923076923077,3.4666666666667,1.4285714285714286,5.3500000000000005,5.333333333333333
That blade will cut through anything.,-10.7817942857143,6.8333333333333,6.1764705882353,5.7647058823529,1.2857142857142858,5.718333333333334,5.166666666666667
That could be a commendable quality.,-8.5565714285714,7.0,5.0,4.6153846153846,1.8571428571428572,5.8999999999999995,5.0
That had a bitter almond scent.,-11.261957142857097,6.75,4.1428571428571,4.7647058823529,2.2857142857142856,5.376666666666666,4.166666666666667
That is terribly difficult to overcome!,-9.3492142857143,6.8,5.0666666666667,4.9285714285714,1.7142857142857142,5.793333333333334,5.5
That kind of understanding and kindness...,-13.8327242857143,5.7647058823529,4.9411764705882,4.75,1.5714285714285714,6.015000000000001,5.666666666666667
That marriage ultimately ends in divorce?,-12.0094542857143,5.7272727272727,3.625,5.3333333333333,1.2857142857142858,5.478333333333334,5.833333333333333
"That project continues, for the moment.",-8.54649875,6.0833333333333,4.5882352941176,5.2,1.625,6.166666666666667,5.333333333333333
That rhythm can be very inspirational.,-10.1400528571429,6.9166666666667,4.1875,5.3846153846154,1.4285714285714286,5.676666666666667,5.333333333333333
That seemed like an absurd contradiction!,-12.5977928571429,6.9333333333333,4.2857142857143,4.6428571428571,1.8571428571428572,5.361666666666667,5.833333333333333
"That warrior is you, my son.",-10.2946675,6.5833333333333,3.1764705882353,4.8,1.625,6.178333333333334,3.5
That was so irresponsible and dangerous.,-8.0423014285714,7.0,5.7058823529412,6.4166666666667,1.7142857142857142,6.036666666666668,5.666666666666667
That would be simple and effective.,-7.3887285714286,6.9411764705882,6.4117647058824,5.8888888888889,1.5714285714285714,6.241666666666667,4.833333333333333
That's what they wanted to communicate.,-8.40678225,6.7222222222222,6.3571428571429,5.5714285714286,2.25,6.105714285714286,4.714285714285714
That's where Dr. Angell comes in.,-9.4236425,6.6,4.0555555555556,4.6,2.125,5.614285714285714,3.857142857142857
That's why we're talking about taxes.,-9.1255155555556,6.7647058823529,6.125,5.2666666666667,2.2222222222222223,5.86375,3.875
The CEO of Levi's does it.,-10.59379,6.2222222222222,3.125,3.75,1.375,5.9542857142857155,2.857142857142857
