model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_xl,facebook/xglm-4.5B,48,contentwords,1000,0.8817576169967651,0.0336696095764637,0.0010647265419024248
xglm_xl,facebook/xglm-4.5B,48,nouns,1000,0.8688065409660339,0.03484448418021202,0.0011018793390317498
xglm_xl,facebook/xglm-4.5B,48,verbs,1000,0.8610386848449707,0.04036054015159607,0.0012763123447372114
xglm_xl,facebook/xglm-4.5B,48,nounsverbs,1000,0.8798511028289795,0.03353388234972954,0.0010604344701326445
xglm_xl,facebook/xglm-4.5B,48,nounsverbsadj,1000,0.8806920647621155,0.03451871499419212,0.0010915776128385302
xglm_xl,facebook/xglm-4.5B,48,functionwords,1000,0.8683547973632812,0.03789477050304413,0.001198337861989841
xglm_xl,facebook/xglm-4.5B,48,1LocalWordSwap,1000,0.8919022083282471,0.035514313727617264,0.0011230612091705527
xglm_xl,facebook/xglm-4.5B,48,2LocalWordSwap,1000,0.8940866589546204,0.03378633037209511,0.0010684175775474477
xglm_xl,facebook/xglm-4.5B,48,3LocalWordSwaps,1000,0.894423246383667,0.0331743098795414,0.0010490637902357692
xglm_xl,facebook/xglm-4.5B,48,4LocalWordSwaps,1000,0.8950751423835754,0.03247534856200218,0.001026960692638008
xglm_xl,facebook/xglm-4.5B,48,5LocalWordSwaps,1000,0.8949140906333923,0.031867459416389465,0.0010077375499877087
xglm_xl,facebook/xglm-4.5B,48,Reversed,1000,0.8929257988929749,0.031022248789668083,0.0009810096431575293
xglm_xl,facebook/xglm-4.5B,48,paraphrase,1000,0.8791205286979675,0.035892460495233536,0.0011350192599255309
