>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=10 | mean r=-0.133
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=11 | mean r=-0.063
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=12 | mean r=-0.123
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=13 | mean r=-0.107
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=14 | mean r=-0.128
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=15 | mean r=-0.145
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=16 | mean r=-0.089
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=17 | mean r=-0.063
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=18 | mean r=-0.125
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=19 | mean r=-0.114
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=20 | mean r=-0.117
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=21 | mean r=-0.118
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=22 | mean r=-0.123
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=23 | mean r=-0.152
WITHIN-SPLIT xglm_small | fROI=Lang_LH_IFGorb | layer=24 | mean r=-0.129


[WITHIN-SPLIT] Processing Lang_LH_MFG (4/6)
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=0 | mean r=-0.196
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=1 | mean r=-0.141
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=2 | mean r=-0.154
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=3 | mean r=-0.121
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=4 | mean r=-0.079
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=5 | mean r=-0.163
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=6 | mean r=-0.136
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=7 | mean r=-0.132
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=8 | mean r=-0.170
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=9 | mean r=-0.165
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=10 | mean r=-0.155
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=11 | mean r=-0.095
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=12 | mean r=-0.115
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=13 | mean r=-0.111
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=14 | mean r=-0.127
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=15 | mean r=-0.136
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=16 | mean r=-0.032
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=17 | mean r=-0.090
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=18 | mean r=-0.106
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=19 | mean r=-0.127
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=20 | mean r=-0.142
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=21 | mean r=-0.157
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=22 | mean r=-0.176
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=23 | mean r=-0.123
WITHIN-SPLIT xglm_small | fROI=Lang_LH_MFG | layer=24 | mean r=-0.124


[WITHIN-SPLIT] Processing Lang_LH_PostTemp (5/6)
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=0 | mean r=-0.234
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=1 | mean r=-0.165
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=2 | mean r=-0.228
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=3 | mean r=-0.183
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=4 | mean r=-0.206
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=5 | mean r=-0.102
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=6 | mean r=-0.223
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=7 | mean r=-0.209
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=8 | mean r=-0.196
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=9 | mean r=-0.208
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=10 | mean r=-0.220
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=11 | mean r=-0.215
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=12 | mean r=-0.149
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=13 | mean r=-0.198
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=14 | mean r=-0.201
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=15 | mean r=-0.224
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=16 | mean r=-0.164
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=17 | mean r=-0.079
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=18 | mean r=-0.159
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=19 | mean r=-0.148
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=20 | mean r=-0.208
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=21 | mean r=-0.210
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=22 | mean r=-0.186
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=23 | mean r=-0.204
WITHIN-SPLIT xglm_small | fROI=Lang_LH_PostTemp | layer=24 | mean r=-0.204


