>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: MD
>>> Loaded fMRI data
Processing - MD mode
Encoding for xglm_small already done
Encoding for xglm_med already done
Encoding for xglm_large already done
Encoding for xglm_xl already done
Encoding for bert_base already done
Encoding for distilmbert already done
Encoding for xlmr_base already done
Encoding for xlmr_large already done
Encoding for mt5_small already done
Encoding for mt5_base already done
Encoding for mt5_large already done
Encoding for mdeberta already done
Encoding for xlm_align already done
Encoding for infoxlm_base already done
Encoding for infoxlm_large already done
Encoding for multiminilm already done
Encoding for nllb200_distilled_600M already done
Encoding for nllb200_distilled_1B already done
Encoding for nllb200_1B already done
Encoding for mgpt already done
Encoding for xglm_small already done
Encoding for xglm_med already done

ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=7 | mean r=-0.002
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=8 | mean r=-0.003
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=9 | mean r=0.001
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=10 | mean r=-0.002
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=11 | mean r=-0.011
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=12 | mean r=-0.007
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=13 | mean r=-0.003
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=14 | mean r=-0.004
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=15 | mean r=-0.004
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=16 | mean r=-0.006
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=17 | mean r=-0.010
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=18 | mean r=-0.013
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=19 | mean r=-0.015
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=20 | mean r=-0.017
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=21 | mean r=-0.023
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=22 | mean r=-0.022
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=23 | mean r=-0.021
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=24 | mean r=-0.020
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=25 | mean r=-0.018
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=26 | mean r=-0.023
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=27 | mean r=-0.020
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=28 | mean r=-0.022
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=29 | mean r=-0.024
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=30 | mean r=-0.023
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=31 | mean r=-0.020
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=32 | mean r=-0.019
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=33 | mean r=-0.019
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=34 | mean r=-0.019
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=35 | mean r=-0.020
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=36 | mean r=-0.021
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=37 | mean r=-0.018
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=38 | mean r=-0.014
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=39 | mean r=-0.011
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=40 | mean r=-0.012
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=41 | mean r=-0.009
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=42 | mean r=-0.010
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=43 | mean r=-0.009
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=44 | mean r=-0.007
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=45 | mean r=-0.004
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=46 | mean r=0.001
ACROSS     xglm_large | fROI=MD_LH_Precentral_B_IFGop | layer=47 | mean r=0.006
