>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: RH
>>> Loaded fMRI data
Processing - RH mode
Encoding for xglm_small already done
Encoding for xglm_med already done
Encoding for xglm_large already done
Encoding for xglm_xl already done
Encoding for bert_base already done
Encoding for distilmbert already done
Encoding for xlmr_base already done
Encoding for xlmr_large already done
Encoding for mt5_small already done
Encoding for mt5_base already done
Encoding for mt5_large already done
Encoding for mdeberta already done
Encoding for xlm_align already done
Encoding for infoxlm_base already done
Encoding for infoxlm_large already done
Encoding for multiminilm already done
Encoding for nllb200_distilled_600M already done


Processing Lang_RH_AntTemp (1/6)
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=9 | mean r=0.030
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=10 | mean r=0.025
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=11 | mean r=0.023
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=12 | mean r=0.018
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=13 | mean r=0.027
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=14 | mean r=0.041
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=15 | mean r=0.021
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=16 | mean r=0.042
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=17 | mean r=0.033
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=18 | mean r=0.034
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=19 | mean r=0.034
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=20 | mean r=0.032
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=21 | mean r=0.023
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=22 | mean r=0.029
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=23 | mean r=0.021
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_IFGorb | layer=24 | mean r=-0.011


Processing Lang_RH_MFG (4/6)
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_MFG | layer=0 | mean r=0.033
