>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: native-within
>>> Loaded fMRI data
Processing - native mode (within)


Processing Lang_LH_AntTemp (1/6)
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=14 | mean r=0.157
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=15 | mean r=0.174
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=16 | mean r=0.168
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=17 | mean r=0.167
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=18 | mean r=0.160
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=19 | mean r=0.155
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=20 | mean r=0.146
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=21 | mean r=0.150
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=22 | mean r=0.146
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=23 | mean r=0.158
WITHIN     xglm_small | fROI=Lang_LH_IFG | layer=24 | mean r=0.171


Processing Lang_LH_IFGorb (3/6)
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=0 | mean r=0.130
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=1 | mean r=0.147
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=2 | mean r=0.119
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=3 | mean r=0.109
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=4 | mean r=0.093
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=5 | mean r=0.106
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=6 | mean r=0.105
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=7 | mean r=0.114
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=8 | mean r=0.119
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=9 | mean r=0.124
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=10 | mean r=0.149
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=11 | mean r=0.154
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=12 | mean r=0.158
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=13 | mean r=0.180
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=14 | mean r=0.194
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=15 | mean r=0.205
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=16 | mean r=0.203
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=17 | mean r=0.203
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=18 | mean r=0.201
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=19 | mean r=0.192
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=20 | mean r=0.190
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=21 | mean r=0.182
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=22 | mean r=0.166
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=23 | mean r=0.167
WITHIN     xglm_small | fROI=Lang_LH_IFGorb | layer=24 | mean r=0.182


Processing Lang_LH_MFG (4/6)
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=0 | mean r=0.139
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=1 | mean r=0.182
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=2 | mean r=0.166
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=3 | mean r=0.146
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=4 | mean r=0.139
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=5 | mean r=0.147
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=6 | mean r=0.158
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=7 | mean r=0.155
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=8 | mean r=0.165
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=9 | mean r=0.180
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=10 | mean r=0.192
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=11 | mean r=0.211
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=12 | mean r=0.211
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=13 | mean r=0.211
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=14 | mean r=0.217
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=15 | mean r=0.236
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=16 | mean r=0.233
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=17 | mean r=0.247
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=18 | mean r=0.245
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=19 | mean r=0.241
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=20 | mean r=0.236
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=21 | mean r=0.235
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=22 | mean r=0.243
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=23 | mean r=0.238
WITHIN     xglm_small | fROI=Lang_LH_MFG | layer=24 | mean r=0.245


Processing Lang_LH_PostTemp (5/6)
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=0 | mean r=0.076
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=1 | mean r=0.107
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=2 | mean r=0.059
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=3 | mean r=0.076
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=4 | mean r=0.076
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=5 | mean r=0.062
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=6 | mean r=0.060
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=7 | mean r=0.094
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=8 | mean r=0.109
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=9 | mean r=0.131
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=10 | mean r=0.141
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=11 | mean r=0.143
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=12 | mean r=0.164
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=13 | mean r=0.161
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=14 | mean r=0.161
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=15 | mean r=0.131
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=16 | mean r=0.143
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=17 | mean r=0.137
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=18 | mean r=0.124
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=19 | mean r=0.117
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=20 | mean r=0.107
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=21 | mean r=0.116
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=22 | mean r=0.114
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=23 | mean r=0.102
WITHIN     xglm_small | fROI=Lang_LH_PostTemp | layer=24 | mean r=0.111


Processing all (6/6)
WITHIN     xglm_small | fROI=all | layer=0 | mean r=0.177
WITHIN     xglm_small | fROI=all | layer=1 | mean r=0.229
WITHIN     xglm_small | fROI=all | layer=2 | mean r=0.197
WITHIN     xglm_small | fROI=all | layer=3 | mean r=0.194
WITHIN     xglm_small | fROI=all | layer=4 | mean r=0.198
WITHIN     xglm_small | fROI=all | layer=5 | mean r=0.208
WITHIN     xglm_small | fROI=all | layer=6 | mean r=0.193
WITHIN     xglm_small | fROI=all | layer=7 | mean r=0.187
WITHIN     xglm_small | fROI=all | layer=8 | mean r=0.202
WITHIN     xglm_small | fROI=all | layer=9 | mean r=0.219
WITHIN     xglm_small | fROI=all | layer=10 | mean r=0.225
WITHIN     xglm_small | fROI=all | layer=11 | mean r=0.233
WITHIN     xglm_small | fROI=all | layer=12 | mean r=0.243
WITHIN     xglm_small | fROI=all | layer=13 | mean r=0.228
WITHIN     xglm_small | fROI=all | layer=14 | mean r=0.228
WITHIN     xglm_small | fROI=all | layer=15 | mean r=0.214
WITHIN     xglm_small | fROI=all | layer=16 | mean r=0.224
WITHIN     xglm_small | fROI=all | layer=17 | mean r=0.220
WITHIN     xglm_small | fROI=all | layer=18 | mean r=0.217
WITHIN     xglm_small | fROI=all | layer=19 | mean r=0.221
WITHIN     xglm_small | fROI=all | layer=20 | mean r=0.220
WITHIN     xglm_small | fROI=all | layer=21 | mean r=0.231
WITHIN     xglm_small | fROI=all | layer=22 | mean r=0.238
WITHIN     xglm_small | fROI=all | layer=23 | mean r=0.225
WITHIN     xglm_small | fROI=all | layer=24 | mean r=0.235


Processing Lang_LH_AntTemp (1/6)
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=0 | mean r=0.199
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=1 | mean r=0.197
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=2 | mean r=0.198
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=3 | mean r=0.159
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=4 | mean r=0.179
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=5 | mean r=0.219
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=6 | mean r=0.207
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=7 | mean r=0.223
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=8 | mean r=0.208
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=9 | mean r=0.210
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=10 | mean r=0.199
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.212
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=12 | mean r=0.219
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=13 | mean r=0.221
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=14 | mean r=0.231
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=15 | mean r=0.228
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=16 | mean r=0.232
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=17 | mean r=0.226
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=18 | mean r=0.246
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=19 | mean r=0.239
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=20 | mean r=0.255
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=21 | mean r=0.255
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=22 | mean r=0.256
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=23 | mean r=0.256
WITHIN     xglm_med | fROI=Lang_LH_AntTemp | layer=24 | mean r=0.257


Processing Lang_LH_IFG (2/6)
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=0 | mean r=0.160
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=1 | mean r=0.095
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=2 | mean r=0.075
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=3 | mean r=0.078
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=4 | mean r=0.090
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=5 | mean r=0.078
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=6 | mean r=0.071
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=7 | mean r=0.086
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=8 | mean r=0.080
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=9 | mean r=0.085
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=10 | mean r=0.075
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=11 | mean r=0.071
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=12 | mean r=0.110
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=13 | mean r=0.113
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=14 | mean r=0.127
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=15 | mean r=0.136
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=16 | mean r=0.153
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=17 | mean r=0.152
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=18 | mean r=0.152
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=19 | mean r=0.161
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=20 | mean r=0.168
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=21 | mean r=0.168
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=22 | mean r=0.171
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=23 | mean r=0.169
WITHIN     xglm_med | fROI=Lang_LH_IFG | layer=24 | mean r=0.164


Processing Lang_LH_IFGorb (3/6)
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=0 | mean r=0.160
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=1 | mean r=0.100
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=2 | mean r=0.085
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=3 | mean r=0.084
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=4 | mean r=0.093
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=5 | mean r=0.106
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=6 | mean r=0.110
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=7 | mean r=0.143
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=8 | mean r=0.145
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=9 | mean r=0.148
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=10 | mean r=0.141
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=11 | mean r=0.143
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=12 | mean r=0.145
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=13 | mean r=0.155
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=14 | mean r=0.165
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=15 | mean r=0.160
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=16 | mean r=0.142
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=17 | mean r=0.148
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=18 | mean r=0.173
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=19 | mean r=0.179
WITHIN     xglm_med | fROI=Lang_LH_IFGorb | layer=20 | mean r=0.172
