>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=13 | mean r=0.119
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=14 | mean r=0.108
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=15 | mean r=0.128
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=16 | mean r=0.132
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=17 | mean r=0.155
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=18 | mean r=0.138
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=19 | mean r=0.141
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=20 | mean r=0.126
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=21 | mean r=0.141
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=22 | mean r=0.134
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=23 | mean r=0.144
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=24 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=25 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=26 | mean r=0.148
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=27 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=28 | mean r=0.157
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=29 | mean r=0.167
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=30 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=31 | mean r=0.167
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=32 | mean r=0.167
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=33 | mean r=0.173
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=34 | mean r=0.166
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=35 | mean r=0.165
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=36 | mean r=0.166
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=37 | mean r=0.166
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=38 | mean r=0.164
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=39 | mean r=0.176
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=40 | mean r=0.173
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=41 | mean r=0.169
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=42 | mean r=0.166
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=43 | mean r=0.167
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=44 | mean r=0.159
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=45 | mean r=0.161
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=46 | mean r=0.160
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=47 | mean r=0.160
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=48 | mean r=0.168


[WITHIN-SPLIT] Processing Lang_LH_IFGorb (3/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=0 | mean r=0.061
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=1 | mean r=0.023
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=2 | mean r=0.012
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=3 | mean r=-0.002
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=4 | mean r=-0.005
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=5 | mean r=0.000
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=6 | mean r=0.022
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=7 | mean r=0.033
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=8 | mean r=0.054
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=9 | mean r=0.061
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=10 | mean r=0.083
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=11 | mean r=0.083
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=12 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=13 | mean r=0.110
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=14 | mean r=0.133
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=15 | mean r=0.140
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=16 | mean r=0.143
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=17 | mean r=0.144
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=18 | mean r=0.148
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=19 | mean r=0.139
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=20 | mean r=0.148
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=21 | mean r=0.156
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFGorb | layer=22 | mean r=0.151
