>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: native-across
>>> Loaded fMRI data
Processing - native mode (across)


Processing Lang_LH_AntTemp (1/6)
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=22 | mean r=0.116
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=23 | mean r=0.118
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=24 | mean r=0.094


Processing Lang_LH_MFG (4/6)
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=0 | mean r=0.086
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=1 | mean r=0.157
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=2 | mean r=0.159
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=3 | mean r=0.172
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=4 | mean r=0.173
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=5 | mean r=0.170
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=6 | mean r=0.164
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=7 | mean r=0.156
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=8 | mean r=0.160
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=9 | mean r=0.168
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=10 | mean r=0.175
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=11 | mean r=0.189
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=12 | mean r=0.182
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=13 | mean r=0.175
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=14 | mean r=0.172
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=15 | mean r=0.173
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=16 | mean r=0.171
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=17 | mean r=0.158
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=18 | mean r=0.159
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=19 | mean r=0.158
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=20 | mean r=0.151
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=21 | mean r=0.150
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=22 | mean r=0.143
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=23 | mean r=0.140
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=24 | mean r=0.142


Processing Lang_LH_PostTemp (5/6)
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=0 | mean r=0.091
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=1 | mean r=0.122
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=2 | mean r=0.137
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=3 | mean r=0.142
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=4 | mean r=0.144
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=5 | mean r=0.139
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=6 | mean r=0.141
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=7 | mean r=0.132
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=8 | mean r=0.149
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=9 | mean r=0.156
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=10 | mean r=0.163
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=11 | mean r=0.168
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=12 | mean r=0.166
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=13 | mean r=0.151
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=14 | mean r=0.148
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=15 | mean r=0.157
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=16 | mean r=0.162
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=17 | mean r=0.143
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=18 | mean r=0.142
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=19 | mean r=0.140
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=20 | mean r=0.147
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=21 | mean r=0.148
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=22 | mean r=0.153
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=23 | mean r=0.138
ACROSS     xglm_small | fROI=Lang_LH_PostTemp | layer=24 | mean r=0.136


Processing all (6/6)
ACROSS     xglm_small | fROI=all | layer=0 | mean r=0.070
ACROSS     xglm_small | fROI=all | layer=1 | mean r=0.082
ACROSS     xglm_small | fROI=all | layer=2 | mean r=0.068
ACROSS     xglm_small | fROI=all | layer=3 | mean r=0.081
ACROSS     xglm_small | fROI=all | layer=4 | mean r=0.090
ACROSS     xglm_small | fROI=all | layer=5 | mean r=0.090
ACROSS     xglm_small | fROI=all | layer=6 | mean r=0.086
ACROSS     xglm_small | fROI=all | layer=7 | mean r=0.087
ACROSS     xglm_small | fROI=all | layer=8 | mean r=0.111
ACROSS     xglm_small | fROI=all | layer=9 | mean r=0.137
ACROSS     xglm_small | fROI=all | layer=10 | mean r=0.141
ACROSS     xglm_small | fROI=all | layer=11 | mean r=0.140
ACROSS     xglm_small | fROI=all | layer=12 | mean r=0.142
ACROSS     xglm_small | fROI=all | layer=13 | mean r=0.140
ACROSS     xglm_small | fROI=all | layer=14 | mean r=0.144
ACROSS     xglm_small | fROI=all | layer=15 | mean r=0.145
ACROSS     xglm_small | fROI=all | layer=16 | mean r=0.137
ACROSS     xglm_small | fROI=all | layer=17 | mean r=0.128
ACROSS     xglm_small | fROI=all | layer=18 | mean r=0.142
ACROSS     xglm_small | fROI=all | layer=19 | mean r=0.144
ACROSS     xglm_small | fROI=all | layer=20 | mean r=0.143
ACROSS     xglm_small | fROI=all | layer=21 | mean r=0.140
ACROSS     xglm_small | fROI=all | layer=22 | mean r=0.136
ACROSS     xglm_small | fROI=all | layer=23 | mean r=0.134
ACROSS     xglm_small | fROI=all | layer=24 | mean r=0.134


Processing Lang_LH_AntTemp (1/6)
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=0 | mean r=0.079
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=1 | mean r=0.086
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=2 | mean r=0.090
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=3 | mean r=0.090
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=4 | mean r=0.101
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=5 | mean r=0.112
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=6 | mean r=0.124
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=7 | mean r=0.133
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=8 | mean r=0.143
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=9 | mean r=0.145
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=10 | mean r=0.153
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.167
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=12 | mean r=0.174
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=13 | mean r=0.182
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=14 | mean r=0.186
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=15 | mean r=0.194
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=16 | mean r=0.201
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=17 | mean r=0.200
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=18 | mean r=0.195
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=19 | mean r=0.186
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=20 | mean r=0.183
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=21 | mean r=0.170
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=22 | mean r=0.163
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=23 | mean r=0.159
ACROSS     xglm_med | fROI=Lang_LH_AntTemp | layer=24 | mean r=0.157


Processing Lang_LH_IFG (2/6)
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=0 | mean r=-0.016
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=1 | mean r=-0.003
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=2 | mean r=-0.001
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=3 | mean r=0.004
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=4 | mean r=0.002
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=5 | mean r=0.002
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=6 | mean r=0.011
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=7 | mean r=0.018
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=8 | mean r=0.025
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=9 | mean r=0.015
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=10 | mean r=0.031
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=11 | mean r=0.033
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=12 | mean r=0.033
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=13 | mean r=0.040
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=14 | mean r=0.047
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=15 | mean r=0.057
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=16 | mean r=0.056
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=17 | mean r=0.056
ACROSS     xglm_med | fROI=Lang_LH_IFG | layer=18 | mean r=0.047
