layer,r_tot,r_mean,r_std,lang,r_transf,r_random
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,es,-0.012272540548503057,-0.07873289451247205
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,mr,0.09734279841945154,0.0009448978611800362
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,af,-0.014557525845672195,-0.014696870897304613
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,vi,-0.05254469752107949,0.08161747279159384
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,ta,0.07976024122321934,-0.08992615797513796
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,lt,0.16107680797882115,0.03101748213226561
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,tr,0.07906379122009119,-0.01620546119264028
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,nl,0.03320868994487417,-0.027951614204695406
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,no,-0.0011183722013599592,0.03615586956790739
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,fa,0.017450112624782733,0.06939948385715333
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,fr,-0.026428722857641078,-0.00391667490063528
0,0.5016191229497369,0.5109538800272143,0.0775758465471259,ro,0.06722419059287538,-0.04656061278770823
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,es,-0.03536219220989149,-0.13094974127293268
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,mr,0.016552330855940437,-0.0512552958350177
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,af,0.03138702597506216,0.016066177361363333
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,vi,-0.08022140219133192,0.08020026897661811
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,ta,0.13501791738622218,-0.10968372201864422
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,lt,0.090426561943986,0.04090910837760421
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,tr,0.08987798433717788,-0.06217012058106946
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,nl,0.058449832415420615,-0.033251592918918736
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,no,0.02543539806090569,0.03580697152476136
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,fa,0.013211310328866317,0.12356120693635382
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,fr,0.02470004966241755,-0.033136466365129076
1,0.5011902831730367,0.5079634308557198,0.07588476509000762,ro,0.07192109192316122,-0.07863211435476548
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,es,0.012742286109911946,-0.12414381010189598
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,mr,0.1143586033115962,-0.05074252436272079
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,af,0.06236394966619596,0.029952768516905603
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,vi,-0.030270435246490337,0.06419073171335199
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,ta,0.088578536084323,-0.05397686741318225
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,lt,0.07628574172435136,0.0056060601192868854
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,tr,0.08965937498720303,-0.07684140820345754
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,nl,0.12293776557622994,-0.04477712265208019
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,no,0.011460369323849086,0.06946973575486606
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,fa,0.024228792712435873,0.14383685407789887
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,fr,0.028744389847654452,-0.024613973118770057
2,0.5156364782473958,0.5214458758146459,0.07457462330890113,ro,0.14769233903335147,-0.0383970536255063
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,es,-0.0008602516388165982,-0.10772076512685604
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,mr,0.07954306856799429,-0.07129307246266449
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,af,0.0629233984724044,0.05909423749136314
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,vi,-0.0022306294682181934,0.010430996702454735
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,ta,0.03884894895405978,-0.07020809714024663
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,lt,0.08796807321982401,0.030214829589472886
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,tr,0.10579576969199175,-0.06450135864514735
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,nl,0.13699005568585765,-0.04020063033792223
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,no,0.017317189764847547,0.08981930389392026
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,fa,0.03361783201642099,0.14635893056499372
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,fr,0.05728069677789607,-0.014082933393559698
3,0.5187412866026496,0.5250557404406899,0.08052429898260453,ro,0.13760649702422487,-0.10286235280996629
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,es,0.019731617168654667,-0.08519718449176363
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,mr,0.03891266048359888,-0.024372847627893584
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,af,0.06018676482690536,0.040178912362230354
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,vi,0.01131885754562005,0.0018175599163996678
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,ta,0.007635360505023874,-0.09581354005790213
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,lt,0.08907192690832616,0.09469721729121795
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,tr,0.136799042966881,-0.05481818585169275
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,nl,0.13237228403944304,-0.042927375319163186
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,no,-0.031520587357214476,0.11388151329652933
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,fa,0.09244840335518954,0.07935460975283372
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,fr,0.04730017950885855,-0.010686922094623654
4,0.5081216489061866,0.5125782360486202,0.09166748682901943,ro,0.14855354158582235,-0.13542344699059689
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,es,0.010781054525314821,-0.10982705754253211
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,mr,-0.008828211890766562,-0.02242061900503698
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,af,0.061562569030494146,0.06782277087139672
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,vi,0.02459607184396703,-0.019044986339102364
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,ta,0.11147969506479144,-0.12871332534948468
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,lt,0.0863801990558668,0.07850701588898562
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,tr,0.09494619930467638,-0.08662162054783604
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,nl,0.13302469608721312,-0.07408977000643946
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,no,-0.012331741000481684,0.12233869391325834
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,fa,0.08280355171821627,0.14182899478146266
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,fr,0.05660782004953158,0.009385577203642182
5,0.5151699115806088,0.5220408723749081,0.08948244112121267,ro,0.1475456555152624,-0.14195764416989898
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,es,0.011825738645590589,-0.1361866078195588
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,mr,-0.021946234991327754,-0.012345831990651085
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,af,0.04852926882029726,0.06174958815082941
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,vi,0.012727298425651595,-0.024974846868712184
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,ta,0.11873909278323327,-0.07404247921590766
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,lt,0.07696499660265882,0.08919543273219945
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,tr,0.10458406753933228,-0.09799884293952141
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,nl,0.11854612895074633,-0.09384814841014377
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,no,0.015469098307500357,0.12326116796484334
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,fa,0.0841541921407406,0.12083558264911387
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,fr,0.060632996722390586,0.008320890385554613
6,0.5298289928491557,0.5367927649649081,0.08413287577481175,ro,0.16853643849318212,-0.12945867074937523
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,es,0.013238281006861786,-0.16579300170537264
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,mr,-0.03361263478139836,0.04039309975192868
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,af,0.04279926052583277,0.07401988363358927
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,vi,0.02560458247760285,-0.05499017048282944
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,ta,0.21470407272405614,-0.10745067242557992
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,lt,0.10203004459347026,0.04118973719925531
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,tr,0.12404957014369569,-0.104802790328828
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,nl,0.1084271142186704,-0.08750954876782448
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,no,0.019599395107274292,0.09266057354153692
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,fa,0.1016479499524767,0.08755543758551676
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,fr,0.07700779962209335,0.014680484297570106
7,0.5426236815614183,0.5499820069253196,0.08540482595775328,ro,0.19373132078357239,-0.09814184070260669
8,0.5610567860254935,0.5684022889415457,0.08837838333634662,es,0.05467985221763062,-0.12706050861723395
8,0.5610567860254935,0.5684022889415457,0.08837838333634662,mr,0.05114785344667451,-0.006916906571352344
8,0.5610567860254935,0.5684022889415457,0.08837838333634662,af,0.054115567021827814,0.09642152442756029
