model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_small,facebook/xglm-564M,10,contentwords,1000,0.9921053647994995,0.004188474267721176,0.00013245118607004786
xglm_small,facebook/xglm-564M,10,nouns,1000,0.9653001427650452,0.008971374481916428,0.0002836997710516899
xglm_small,facebook/xglm-564M,10,verbs,1000,0.9427433013916016,0.008880853652954102,0.000280837251099615
xglm_small,facebook/xglm-564M,10,nounsverbs,1000,0.9834448099136353,0.0066357264295220375,0.00020984009447066424
xglm_small,facebook/xglm-564M,10,nounsverbsadj,1000,0.9889494776725769,0.005476113874465227,0.00017316992569759498
xglm_small,facebook/xglm-564M,10,functionwords,1000,0.944580078125,0.009166720323264599,0.0002898771489527111
xglm_small,facebook/xglm-564M,10,1LocalWordSwap,1000,0.9972329139709473,0.0008200110169127584,2.593102519875171e-05
xglm_small,facebook/xglm-564M,10,2LocalWordSwap,1000,0.9972215294837952,0.0007934377063065767,2.5090703333885272e-05
xglm_small,facebook/xglm-564M,10,3LocalWordSwaps,1000,0.9971930384635925,0.0007784428307786584,2.4616523734895855e-05
xglm_small,facebook/xglm-564M,10,4LocalWordSwaps,1000,0.9972017407417297,0.000774916959926486,2.450502590861122e-05
xglm_small,facebook/xglm-564M,10,5LocalWordSwaps,1000,0.997175395488739,0.0007623927085660398,2.4108974305736496e-05
xglm_small,facebook/xglm-564M,10,Reversed,1000,0.9970611929893494,0.000723311270121485,2.2873110708531883e-05
xglm_small,facebook/xglm-564M,10,paraphrase,1000,0.9952774047851562,0.0028188172727823257,8.913882889816305e-05
