lang,r,p
Finnish,-0.6624669656384977,9.174563408690679e-18
Korean,-0.29208221554949754,0.0007464453366571003
Danish,-0.19232502884375047,0.02836711048569253
Portuguese,-0.17731682047239572,0.04356848321236636
Belarusian,-0.10957314832373542,0.2146056314445767
Hebrew,-0.10012256099328228,0.2570472000435807
Nepali,-0.09162791031051838,0.29982361438462224
German,-0.08036043411792816,0.3634179025066749
Gujarati,-0.06265176299750047,0.47886025813826605
Basque,-0.062001530989808734,0.48344455351704096
Greek,-0.054515503277044956,0.5378763946257096
Czech,-0.042662129630144076,0.629845251467009
Latvian,-0.007846872449556922,0.9293955399699341
Russian,-0.0060237819145088165,0.9457705466671165
Italian,0.020006686823911796,0.8212552462114938
Polish,0.034825100092841635,0.6940597827349643
Armenian,0.035004557960528246,0.692562564301153
Catalan,0.044060464533938144,0.6186556966513478
Swedish,0.07493653673800887,0.3968010754119145
Irish,0.08985514892373474,0.3093105774144263
Hindi,0.10103903156035512,0.2526959571613702
Hungarian,0.10574325146326025,0.23116068229572048
Mandarin,0.11132922298317495,0.20730422050875352
Arabic,0.11358342890345342,0.19819507595794483
Bulgarian,0.11860949713718491,0.178933946724913
Serbocroatian,0.1470080928000862,0.0951089627406994
English,0.15287144747657358,0.08249494759222491
Ukrainian,0.1556417832092004,0.07702041143926351
Japanese,0.16450250086047682,0.061447109578171254
Marathi,0.19642221273187946,0.025104309006436638
Spanish,0.19723409009806125,0.024497389965457157
Dutch,0.20899389332758372,0.017019000411799125
Vietnamese,0.27644138558551434,0.00145378013204773
Lithuanian,0.30451914614897385,0.00042739662218096373
Turkish,0.32247748701854484,0.00018273009851662526
Afrikaans,0.3454371873279624,5.693219821368404e-05
Norwegian,0.3506909868271981,4.30328361072063e-05
Farsi,0.3726194336248595,1.2667815188217225e-05
Tamil,0.3749862401162015,1.1041590717703487e-05
Romanian,0.3767989755521215,9.931485987298277e-06
French,0.46155711919814457,3.257095677292973e-08
