comparison,N,z_comb,p_two,p_lower,p_two_bonf,q_lower_BH
semantics_ablated vs intact,180,-3.1257459723730756,0.0017735468082130817,0.0008867734041065409,0.005320640424639245,0.0026603202123196227
semantics_ablated vs syntax_ablated,180,-2.042158263016725,0.041135835056000485,0.020567917528000242,0.12340750516800145,0.03085187629200036
syntax_ablated vs intact,180,-1.0835877093563504,0.2785476427131174,0.1392738213565587,0.8356429281393521,0.1392738213565587
