model,fold,comparison,r_test,r_ref,z,p_two
nllb200_distilled_1B,2,semantics_ablated vs syntax_ablated,0.11106886222398353,0.13996002847151112,-0.13924681809825948,0.8892551133507747
nllb200_distilled_1B,3,semantics_ablated vs syntax_ablated,0.1671289039011175,0.2141035681635558,-0.23127253261649003,0.8171030840808882
nllb200_distilled_1B,4,semantics_ablated vs syntax_ablated,0.06984481085761918,0.1809315565521052,-0.5359438599679263,0.5919973506266345
xglm_xl,0,semantics_ablated vs intact,0.0574065863788734,0.2879800315358385,-1.1331663887302044,0.2571443860868525
xglm_xl,1,semantics_ablated vs intact,0.01032632708596726,0.4737219900228302,-2.393204100082648,0.016701947260445715
xglm_xl,2,semantics_ablated vs intact,0.09880135413288303,0.4585718937567696,-1.880179563029429,0.060083609922368275
xglm_xl,3,semantics_ablated vs intact,0.10083196922567603,0.4747516016375679,-1.9685699628411029,0.04900249467402551
xglm_xl,4,semantics_ablated vs intact,0.08456265850150776,0.35561535992764454,-1.3617987540142937,0.17326140491631437
xglm_xl,0,syntax_ablated vs intact,0.028670689461054936,0.2879800315358385,-1.269735153633912,0.20417898632535536
xglm_xl,1,syntax_ablated vs intact,-0.011512623577471907,0.4737219900228302,-2.496799492770433,0.01253197943008022
xglm_xl,2,syntax_ablated vs intact,0.05193636366952674,0.4585718937567696,-2.1037918222105203,0.03539661047408105
xglm_xl,3,syntax_ablated vs intact,0.029317154292074304,0.4747516016375679,-2.3093855455640497,0.0209221963991304
xglm_xl,4,syntax_ablated vs intact,-0.03862576933304024,0.35561535992764454,-1.94718420199446,0.05151265498944846
xglm_xl,0,semantics_ablated vs syntax_ablated,0.0574065863788734,0.028670689461054936,0.13656876490370795,0.8913716671197811
xglm_xl,1,semantics_ablated vs syntax_ablated,0.01032632708596726,-0.011512623577471907,0.10359539268778531,0.9174904440938685
xglm_xl,2,semantics_ablated vs syntax_ablated,0.09880135413288303,0.05193636366952674,0.22361225918109176,0.823059023758471
xglm_xl,3,semantics_ablated vs syntax_ablated,0.10083196922567603,0.029317154292074304,0.34081558272294715,0.7332424187381517
xglm_xl,4,semantics_ablated vs syntax_ablated,0.08456265850150776,-0.03862576933304024,0.5853854479801661,0.558288571278517
mt5_large,0,semantics_ablated vs intact,0.3299875816572776,0.38903974235238775,-0.32185837193471495,0.7475599907762662
mt5_large,1,semantics_ablated vs intact,0.4527864759666831,0.5512309208439113,-0.6258842341985205,0.5313908762034689
mt5_large,2,semantics_ablated vs intact,0.3365596618978932,0.39939269668255484,-0.34493430440473527,0.7301437603060945
mt5_large,3,semantics_ablated vs intact,0.4479908022407842,0.5390344491308134,-0.5721027331458316,0.5672523776106233
mt5_large,4,semantics_ablated vs intact,0.3303464098876486,0.40681840214558446,-0.42015119064023493,0.6743750086089371
mt5_large,0,syntax_ablated vs intact,0.3278951823310208,0.38903974235238775,-0.3329877222092662,0.7391435510677358
mt5_large,1,syntax_ablated vs intact,0.396538534379182,0.5512309208439113,-0.9515905156303393,0.34130469341741154
mt5_large,2,syntax_ablated vs intact,0.3249425664562713,0.39939269668255484,-0.40680891805429414,0.6841483362430529
mt5_large,3,syntax_ablated vs intact,0.4186161217389017,0.5390344491308134,-0.7436760386154452,0.45707248898460007
mt5_large,4,syntax_ablated vs intact,0.2731206336706233,0.40681840214558446,-0.718911174634763,0.47219565079542103
mt5_large,0,semantics_ablated vs syntax_ablated,0.3299875816572776,0.3278951823310208,0.011129350274551244,0.9911202465558646
mt5_large,1,semantics_ablated vs syntax_ablated,0.4527864759666831,0.396538534379182,0.3257062814318188,0.7446465912814721
mt5_large,2,semantics_ablated vs syntax_ablated,0.3365596618978932,0.3249425664562713,0.06187461364955886,0.9506626841244097
mt5_large,3,semantics_ablated vs syntax_ablated,0.4479908022407842,0.4186161217389017,0.1715733054696135,0.8637729953588631
mt5_large,4,semantics_ablated vs syntax_ablated,0.3303464098876486,0.2731206336706233,0.298759983994528,0.765123185323487
nllb200_1B,0,semantics_ablated vs intact,0.08906326224821326,0.3996805686142335,-1.5841532649540404,0.11315884559117939
nllb200_1B,1,semantics_ablated vs intact,0.04765152003097418,0.5087362196981526,-2.4349644366002074,0.014893253385058758
nllb200_1B,2,semantics_ablated vs intact,0.05773691827581175,0.4502229781541032,-2.0262865229630305,0.042735431516870204
nllb200_1B,3,semantics_ablated vs intact,0.1694517375583234,0.5553683729467542,-2.1582954853817395,0.030904865515146263
nllb200_1B,4,semantics_ablated vs intact,0.02464276391584084,0.43126185528561617,-2.0719151133791542,0.038273358264531154
nllb200_1B,0,syntax_ablated vs intact,0.09013155805258674,0.3996805686142335,-1.579044883988589,0.114325762302939
nllb200_1B,1,syntax_ablated vs intact,0.22058501017191856,0.5087362196981526,-1.5973562004411692,0.1101863298533754
nllb200_1B,2,syntax_ablated vs intact,0.1345837182076944,0.4502229781541032,-1.658178319914361,0.09728147936195009
nllb200_1B,3,syntax_ablated vs intact,0.22237736534400648,0.5553683729467542,-1.8971531821508485,0.05780772386728694
nllb200_1B,4,syntax_ablated vs intact,0.1418816161980036,0.43126185528561617,-1.5112547943722188,0.13072354666305563
nllb200_1B,0,semantics_ablated vs syntax_ablated,0.08906326224821326,0.09013155805258674,-0.005108380965451228,0.9959241194240367
nllb200_1B,1,semantics_ablated vs syntax_ablated,0.04765152003097418,0.22058501017191856,-0.8376082361590383,0.4022507656443788
nllb200_1B,2,semantics_ablated vs syntax_ablated,0.05773691827581175,0.1345837182076944,-0.3681082030486693,0.7127925545476204
nllb200_1B,3,semantics_ablated vs syntax_ablated,0.1694517375583234,0.22237736534400648,-0.26114230323089105,0.7939827699056461
nllb200_1B,4,semantics_ablated vs syntax_ablated,0.02464276391584084,0.1418816161980036,-0.5606603190069358,0.5750291229613631
infoxlm_large,0,semantics_ablated vs intact,0.10444510425799158,0.373296351214383,-1.3633543016967695,0.17277087596243845
infoxlm_large,1,semantics_ablated vs intact,0.09695685610172669,0.4967038803853331,-2.1234308353113294,0.03371776557794659
infoxlm_large,2,semantics_ablated vs intact,0.12882261725477784,0.44112725366888994,-1.632148596650902,0.10264818641229123
infoxlm_large,3,semantics_ablated vs intact,0.12822000103977088,0.5037826587517829,-2.018004993150201,0.04359074130765617
infoxlm_large,4,semantics_ablated vs intact,0.04266345387259782,0.39445820030999146,-1.7758376657382995,0.07575967752361445
infoxlm_large,0,syntax_ablated vs intact,0.1214893428487497,0.373296351214383,-1.281459181920014,0.2000324282636039
infoxlm_large,1,syntax_ablated vs intact,0.13409280257403722,0.4967038803853331,-1.9448749370376055,0.05179003217934297
infoxlm_large,2,syntax_ablated vs intact,0.15727291910807623,0.44112725366888994,-1.4943675271274048,0.1350795842268553
infoxlm_large,3,syntax_ablated vs intact,0.1592316889740784,0.5037826587517829,-1.8677875253650429,0.061791692940097676
infoxlm_large,4,syntax_ablated vs intact,0.11323385448665702,0.39445820030999146,-1.4389023430221204,0.15017819360236873
infoxlm_large,0,semantics_ablated vs syntax_ablated,0.10444510425799158,0.1214893428487497,-0.08189511977675556,0.9347301152589931
infoxlm_large,1,semantics_ablated vs syntax_ablated,0.09695685610172669,0.13409280257403722,-0.17855589827372353,0.8582864259490612
infoxlm_large,2,semantics_ablated vs syntax_ablated,0.12882261725477784,0.15727291910807623,-0.13778106952349717,0.890413445986088
infoxlm_large,3,semantics_ablated vs syntax_ablated,0.12822000103977088,0.1592316889740784,-0.1502174677851583,0.8805930449664419
infoxlm_large,4,semantics_ablated vs syntax_ablated,0.04266345387259782,0.11323385448665702,-0.33693532271617926,0.7361656569230561
nllb200_distilled_600M,0,semantics_ablated vs intact,0.042508164721306724,0.35066573330286327,-1.5352960681975814,0.12471111950643743
nllb200_distilled_600M,1,semantics_ablated vs intact,0.034759025410684735,0.47931286392344385,-2.31155592489949,0.020802167897294943
nllb200_distilled_600M,2,semantics_ablated vs intact,0.052992302117569695,0.45414859898653004,-2.072268443085123,0.03824041363932218
nllb200_distilled_600M,3,semantics_ablated vs intact,0.15150291302755942,0.5502719752179449,-2.2108733507906075,0.027044608571926698
nllb200_distilled_600M,4,semantics_ablated vs intact,0.03160438111411723,0.449515708331389,-2.1462928977090545,0.03184961788638474
nllb200_distilled_600M,0,syntax_ablated vs intact,0.04797320675344899,0.35066573330286327,-1.5093198665176533,0.1312170601843341
nllb200_distilled_600M,1,syntax_ablated vs intact,0.06435993028726743,0.47931286392344385,-2.170790384200396,0.029947021149549613
nllb200_distilled_600M,2,syntax_ablated vs intact,0.06871678732244488,0.45414859898653004,-1.9974018434249596,0.04578154773611409
nllb200_distilled_600M,3,syntax_ablated vs intact,0.1259319758079755,0.5502719752179449,-2.3345541561978265,0.019566723812882714
nllb200_distilled_600M,4,syntax_ablated vs intact,0.13555540563481774,0.449515708331389,-1.6492774304096374,0.09909081123755081
nllb200_distilled_600M,0,semantics_ablated vs syntax_ablated,0.042508164721306724,0.04797320675344899,-0.025976201679928087,0.9792763203530497
nllb200_distilled_600M,1,semantics_ablated vs syntax_ablated,0.034759025410684735,0.06435993028726743,-0.14076554069909372,0.8880551664873426
nllb200_distilled_600M,2,semantics_ablated vs syntax_ablated,0.052992302117569695,0.06871678732244488,-0.07486659966016354,0.9403208515599215
nllb200_distilled_600M,3,semantics_ablated vs syntax_ablated,0.15150291302755942,0.1259319758079755,0.1236808054072189,0.9015680100222998
nllb200_distilled_600M,4,semantics_ablated vs syntax_ablated,0.03160438111411723,0.13555540563481774,-0.49701546729941715,0.6191781440694255
distilmbert,0,semantics_ablated vs intact,0.15925297996948093,0.3304175188283439,-0.8665117956828775,0.3862095605747302
distilmbert,1,semantics_ablated vs intact,0.08562950495536352,0.4207528137289678,-1.7207535781665066,0.08529554944544682
distilmbert,2,semantics_ablated vs intact,0.12206137266633815,0.40177095298195636,-1.4376628622793288,0.15052973522139634
distilmbert,3,semantics_ablated vs intact,0.13385508200185559,0.5459276900866064,-2.266870561588983,0.02339813404347657
distilmbert,4,semantics_ablated vs intact,0.03899475081637205,0.34009068317690816,-1.4950325472887818,0.1349059480925412
distilmbert,0,syntax_ablated vs intact,0.14307764379985224,0.3304175188283439,-0.9450343390923376,0.3446413451378876
distilmbert,1,syntax_ablated vs intact,0.11687814723612257,0.4207528137289678,-1.570980030678485,0.11618728733711192
distilmbert,2,syntax_ablated vs intact,0.17033038893918145,0.40177095298195636,-1.203651827225505,0.2287241787676999
distilmbert,3,syntax_ablated vs intact,0.2698764995103139,0.5459276900866064,-1.592985747979824,0.1111633883060048
distilmbert,4,syntax_ablated vs intact,0.05443782721609661,0.34009068317690816,-1.4216179112412817,0.15513720222779437
distilmbert,0,semantics_ablated vs syntax_ablated,0.15925297996948093,0.14307764379985224,0.07852254340946012,0.9374123985367286
distilmbert,1,semantics_ablated vs syntax_ablated,0.08562950495536352,0.11687814723612257,-0.1497735474880218,0.8809432799632162
distilmbert,2,semantics_ablated vs syntax_ablated,0.12206137266633815,0.17033038893918145,-0.23401103505382392,0.8149764117603067
distilmbert,3,semantics_ablated vs syntax_ablated,0.13385508200185559,0.2698764995103139,-0.6738848136091586,0.5003845477740501
distilmbert,4,semantics_ablated vs syntax_ablated,0.03899475081637205,0.05443782721609661,-0.07341463604749995,0.9414761711422159
mt5_small,0,semantics_ablated vs intact,0.09494167537959788,0.3371263415945267,-1.212504224963967,0.2253194262933289
mt5_small,1,semantics_ablated vs intact,0.13368829431421697,0.3842780029938835,-1.2834537932530325,0.19933313799216812
mt5_small,2,semantics_ablated vs intact,0.1658544358761056,0.3929750469966842,-1.1759535864546964,0.2396134236370644
mt5_small,3,semantics_ablated vs intact,0.22791622535967576,0.48279936270061224,-1.3975891751662755,0.16223647084161996
mt5_small,4,semantics_ablated vs intact,0.1317560368838549,0.26956386724796516,-0.6824209323756429,0.49497282342630267
mt5_small,0,syntax_ablated vs intact,0.08670216924659838,0.3371263415945267,-1.2519129321102478,0.21060159195478256
mt5_small,1,syntax_ablated vs intact,0.16521741396720485,0.3842780029938835,-1.130467079252162,0.25827946271725155
mt5_small,2,syntax_ablated vs intact,0.13195592168768938,0.3929750469966842,-1.3404120325613584,0.18011142595447938
mt5_small,3,syntax_ablated vs intact,0.23420120010610268,0.48279936270061224,-1.3660954016195141,0.17190902142401931
mt5_small,4,syntax_ablated vs intact,0.09324299275568818,0.26956386724796516,-0.8674704016563571,0.3856843223224957
mt5_small,0,semantics_ablated vs syntax_ablated,0.09494167537959788,0.08670216924659838,0.03940870714628077,0.9685645380047694
mt5_small,1,semantics_ablated vs syntax_ablated,0.13368829431421697,0.16521741396720485,-0.15298671400087038,0.8784087526421114
mt5_small,2,semantics_ablated vs syntax_ablated,0.1658544358761056,0.13195592168768938,0.164458446106662,0.8693702564962622
mt5_small,3,semantics_ablated vs syntax_ablated,0.22791622535967576,0.23420120010610268,-0.031493773546761215,0.9748757576734279
mt5_small,4,semantics_ablated vs syntax_ablated,0.1317560368838549,0.09324299275568818,0.18504946928071425,0.853190234672704
multiminilm,0,semantics_ablated vs intact,0.35543810538804177,0.4070767497704888,-0.2867288223011932,0.774319966787093
multiminilm,1,semantics_ablated vs intact,0.28843359162790194,0.510118169468881,-1.2619035267624092,0.20698350281071143
multiminilm,2,semantics_ablated vs intact,0.2847577712383854,0.47224453499428487,-1.0440405791303213,0.2964666156237685
multiminilm,3,semantics_ablated vs intact,0.39333770867903506,0.5236499849980725,-0.7855715153838332,0.43211855765691687
multiminilm,4,semantics_ablated vs intact,0.2828959365784278,0.37845278060254905,-0.5095634294358906,0.6103573500833015
multiminilm,0,syntax_ablated vs intact,0.3240768750013396,0.4070767497704888,-0.4549249276701343,0.6491632486229728
multiminilm,1,syntax_ablated vs intact,0.26000264373532067,0.510118169468881,-1.407742845626706,0.15920722983047297
multiminilm,2,syntax_ablated vs intact,0.26238141749058386,0.47224453499428487,-1.1587739648759636,0.246548332451348
multiminilm,3,syntax_ablated vs intact,0.3615656673981891,0.5236499849980725,-0.9613468274315744,0.3363778101564461
multiminilm,4,syntax_ablated vs intact,0.23759659601958372,0.37845278060254905,-0.740101897322283,0.459238167549463
multiminilm,0,semantics_ablated vs syntax_ablated,0.35543810538804177,0.3240768750013396,0.16819610536894114,0.866429004764528
multiminilm,1,semantics_ablated vs syntax_ablated,0.28843359162790194,0.26000264373532067,0.14583931886429682,0.8840482357588766
multiminilm,2,semantics_ablated vs syntax_ablated,0.2847577712383854,0.26238141749058386,0.11473338574564221,0.9086564506594574
multiminilm,3,semantics_ablated vs syntax_ablated,0.39333770867903506,0.3615656673981891,0.17577531204774124,0.8604704657631617
multiminilm,4,semantics_ablated vs syntax_ablated,0.2828959365784278,0.23759659601958372,0.23053846788639248,0.8176733753130405
infoxlm_base,0,semantics_ablated vs intact,0.1267118109257679,0.37202608825443906,-1.2493021707417422,0.21155457427669244
infoxlm_base,1,semantics_ablated vs intact,0.14358384628836857,0.5189283113212775,-2.0410401534445044,0.04124683612202884
infoxlm_base,2,semantics_ablated vs intact,0.21682472255070157,0.49199988355963886,-1.5101792772054496,0.13099768493967634
infoxlm_base,3,semantics_ablated vs intact,0.19544340746862365,0.5417881195549386,-1.9385994586437292,0.052550129531198086
infoxlm_base,4,semantics_ablated vs intact,0.1434607032816486,0.401426788287509,-1.3323849888495234,0.1827337122587358
infoxlm_base,0,syntax_ablated vs intact,0.0766308611330648,0.37202608825443906,-1.4893910745436942,0.13638441752615926
infoxlm_base,1,syntax_ablated vs intact,0.13135071735778592,0.5189283113212775,-2.1001854571692373,0.03571253015576148
infoxlm_base,2,syntax_ablated vs intact,0.2045674454325166,0.49199988355963886,-1.5710225569105578,0.11617740936513021
infoxlm_base,3,syntax_ablated vs intact,0.26253303784942916,0.5417881195549386,-1.6025926726813748,0.1090246125250467
