comparison,N,z_comb,p_two,p_lower,p_two_bonf,q_lower_BH
semantics_ablated vs intact,100,-30.278043705477614,2.230746682653657e-201,1.1153733413268285e-201,6.69224004796097e-201,3.346120023980485e-201
syntax_ablated vs intact,100,-29.752468394281312,1.6112178290245508e-194,8.056089145122754e-195,4.833653487073653e-194,1.2084133717684132e-194
semantics_ablated vs syntax_ablated,100,-0.5255753111963039,0.5991833142643526,0.2995916571321763,1.0,0.2995916571321763
