layer,r_mean,r_std,lang,r_transf,r_random
0,0.22896537692685376,0.07890880183318541,es,0.15528901399564576,-0.12914808026702132
0,0.22896537692685376,0.07890880183318541,mr,-0.14014554024171724,0.037387976056678054
0,0.22896537692685376,0.07890880183318541,af,0.01892733509794961,-0.012806018972208181
0,0.22896537692685376,0.07890880183318541,vi,0.06304442159964899,-0.007234336280981894
0,0.22896537692685376,0.07890880183318541,ta,0.15669977701937798,-0.14224614987266343
0,0.22896537692685376,0.07890880183318541,lt,0.1520939445376612,-0.004269087158688628
0,0.22896537692685376,0.07890880183318541,tr,0.20278694694297902,-0.08169562422078332
0,0.22896537692685376,0.07890880183318541,nl,-0.017931404311631545,0.012032832034580955
0,0.22896537692685376,0.07890880183318541,no,0.08685641002732862,-0.042343928600318485
0,0.22896537692685376,0.07890880183318541,fa,0.2748919553142266,0.038429203434122164
0,0.22896537692685376,0.07890880183318541,fr,0.010668272139976568,-0.07278454875468762
0,0.22896537692685376,0.07890880183318541,ro,0.18502386832164625,0.028877434132252355
1,0.22963650873369432,0.07930823244717299,es,0.12144942879893289,-0.09421698428801879
1,0.22963650873369432,0.07930823244717299,mr,-0.13444348791379854,0.051803956285907074
1,0.22963650873369432,0.07930823244717299,af,0.09673249398395993,-0.03114905768582144
1,0.22963650873369432,0.07930823244717299,vi,0.08352405318758052,-0.018657573177326532
1,0.22963650873369432,0.07930823244717299,ta,0.29688268638214715,-0.1262464804458532
1,0.22963650873369432,0.07930823244717299,lt,0.20783260989615315,-0.011052287788714027
1,0.22963650873369432,0.07930823244717299,tr,0.21613963146340742,-0.03453189781052651
1,0.22963650873369432,0.07930823244717299,nl,0.004855158963354547,-0.010293946130982995
1,0.22963650873369432,0.07930823244717299,no,0.04808624180001177,-0.04251480800615134
1,0.22963650873369432,0.07930823244717299,fa,0.26956286891098274,0.10375493723667258
1,0.22963650873369432,0.07930823244717299,fr,0.045476698728308784,-0.0679437823260118
1,0.22963650873369432,0.07930823244717299,ro,0.21507440752171056,-0.027385690040656416
2,0.2396234582870236,0.08671371236097149,es,0.1040103716738968,-0.1464814988600703
2,0.2396234582870236,0.08671371236097149,mr,-0.11359349726785159,0.11542307590391082
2,0.2396234582870236,0.08671371236097149,af,0.12961200691439362,-0.010394954446152417
2,0.2396234582870236,0.08671371236097149,vi,0.04416418410161538,-0.021578247741656724
2,0.2396234582870236,0.08671371236097149,ta,0.3255346764330723,-0.08688795618766627
2,0.2396234582870236,0.08671371236097149,lt,0.1856085182081446,-0.03411018000470356
2,0.2396234582870236,0.08671371236097149,tr,0.20866939400941037,-0.039131084765029175
2,0.2396234582870236,0.08671371236097149,nl,0.006321607382220716,0.0078646240773525
2,0.2396234582870236,0.08671371236097149,no,0.040510782580820484,-0.06117512147145042
2,0.2396234582870236,0.08671371236097149,fa,0.26699991615270824,0.06576849659124591
2,0.2396234582870236,0.08671371236097149,fr,0.03060647215905486,-0.05620928914023299
2,0.2396234582870236,0.08671371236097149,ro,0.21566263529143456,-0.07839200576024843
