layer,natstor,control,pereira,study1
0,0.90583575,0.9047502,0.90420693,0.9003011
1,0.5754784,0.5794614,0.5771821,0.5631335
2,0.4521595,0.47025377,0.49491775,0.4289667
3,0.40034643,0.4133809,0.43187264,0.3759268
4,0.423411,0.44316316,0.46824422,0.3946831
5,0.3384068,0.33486903,0.3532462,0.31520596
6,0.30278167,0.3003766,0.31953642,0.27994695
7,0.31931528,0.32687,0.34913483,0.29742768
8,0.69790393,0.8208482,0.8353024,0.6717876
