layer,natstor,control,pereira,study1
0,0.95942724,1.0088844,1.0087949,0.93326265
1,0.727733,0.76174647,0.7670295,0.7002782
2,0.50113523,0.6252771,0.63138866,0.4965817
3,0.4248182,0.5209123,0.532239,0.39939985
4,0.38655254,0.47314057,0.4933411,0.36300567
5,0.22266817,0.24983415,0.26614913,0.21589021
6,0.68065476,0.7110491,0.7434016,0.6410233
