model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
infoxlm_base,microsoft/infoxlm-base,7,contentwords,627,0.9214741587638855,0.01692652516067028,0.0006759803018170452
infoxlm_base,microsoft/infoxlm-base,7,nouns,627,0.890684962272644,0.02025710605084896,0.0008089908904640486
infoxlm_base,microsoft/infoxlm-base,7,verbs,627,0.8423289656639099,0.03957701101899147,0.0015805535749178518
infoxlm_base,microsoft/infoxlm-base,7,nounsverbs,627,0.9151817560195923,0.016791559755802155,0.000670590302732673
infoxlm_base,microsoft/infoxlm-base,7,nounsverbsadj,627,0.918967604637146,0.016206875443458557,0.0006472402604662268
infoxlm_base,microsoft/infoxlm-base,7,functionwords,627,0.8407920598983765,0.027922313660383224,0.0011151097958033945
infoxlm_base,microsoft/infoxlm-base,7,paraphrase,627,0.9302558898925781,0.014140362851321697,0.0005647116970143954
infoxlm_base,microsoft/infoxlm-base,7,1LocalWordSwap,627,0.9398884773254395,0.024897174909710884,0.0009942973912308692
infoxlm_base,microsoft/infoxlm-base,7,2LocalWordSwap,627,0.9391607046127319,0.023999100551009178,0.0009584317560643606
infoxlm_base,microsoft/infoxlm-base,7,3LocalWordSwaps,627,0.9382553696632385,0.023312639445066452,0.0009310171401773954
infoxlm_base,microsoft/infoxlm-base,7,4LocalWordSwaps,627,0.9378165602684021,0.023311758413910866,0.0009309819551821994
infoxlm_base,microsoft/infoxlm-base,7,5LocalWordSwaps,627,0.9372300505638123,0.023070722818374634,0.0009213559207142495
infoxlm_base,microsoft/infoxlm-base,7,Reversed,627,0.9220225811004639,0.02038934826850891,0.0008142721359269058
