dataset,perturb_type,model,language,r1,r2,r3,r_mean,r_sd
Tuckute2024,1LocalWordSwap,nllb200_1B,Arabic,-0.46774215987045253,0.020941571957059354,0.13145503955578827,-0.10511518278586829,0.26035495003590964
Tuckute2024,2LocalWordSwap,nllb200_1B,Arabic,-0.4545779617873872,-0.11907784730342433,0.08549250081837609,-0.16272110275747845,0.22263209779779683
Tuckute2024,3LocalWordSwaps,nllb200_1B,Arabic,-0.45348516890659546,-0.06714233714686708,0.0004766142919470164,-0.17338363058717185,0.19997622271177112
Tuckute2024,4LocalWordSwaps,nllb200_1B,Arabic,-0.42099101710872483,-0.009203188565405467,0.10886219578663141,-0.10711066996249963,0.22712039830454783
Tuckute2024,5LocalWordSwaps,nllb200_1B,Arabic,-0.3352770431633066,0.036266841686707116,0.15965674813543476,-0.04645115111372156,0.21035139519707707
Tuckute2024,Reversed,nllb200_1B,Arabic,-0.5194862256907747,-0.18557308623558746,-0.06962253664190667,-0.2582272828560896,0.19070624687564572
Tuckute2024,contentwords,nllb200_1B,Arabic,-0.502862351720532,-0.06124254258556299,0.06154085180273904,-0.1675213475011186,0.24236217020200956
Tuckute2024,functionwords,nllb200_1B,Arabic,-0.16187530190717803,0.10781613063485192,-0.06753269780774937,-0.040530623026691824,0.11174435475227801
Tuckute2024,intact,nllb200_1B,Arabic,-0.2981145989037536,0.07135514573035535,0.27298201282316736,0.015407519883256374,0.23648176477963737
Tuckute2024,nouns,nllb200_1B,Arabic,-0.473909402491387,-0.22620573039653571,-0.037560685744478656,-0.2458919395441338,0.17868167370050508
Tuckute2024,nounsverbs,nllb200_1B,Arabic,-0.44407214476136947,-0.07720176900270873,0.053667175978932884,-0.15586891259504843,0.21067747461224187
Tuckute2024,nounsverbsadj,nllb200_1B,Arabic,-0.49773997154526656,-0.046486257928673495,-0.00969489881652317,-0.18464037609682107,0.22190376071443668
Tuckute2024,verbs,nllb200_1B,Arabic,-0.018300975733510957,-0.08949633913217715,-0.016054088531267934,-0.041283801132318686,0.034103750925821914
Tuckute2024,1LocalWordSwap,nllb200_1B,German,0.23045376009250543,-0.11170869206691991,0.13732531990892113,0.01280831392100061,0.12451700598792052
Tuckute2024,2LocalWordSwap,nllb200_1B,German,0.17740384293780484,-0.1082010164909098,0.20059141668744623,0.04619520009826822,0.15439621658917801
Tuckute2024,3LocalWordSwaps,nllb200_1B,German,0.0908970225847925,-0.14102789614308733,0.18164028370785146,0.020306193782382062,0.16133408992546938
Tuckute2024,4LocalWordSwaps,nllb200_1B,German,0.1698196292127105,-0.09830427427086577,0.08572400976795788,-0.006290132251453945,0.09201414201941183
Tuckute2024,5LocalWordSwaps,nllb200_1B,German,0.11813718786055001,-0.10816721701885619,0.13354385300763835,0.012688317994391081,0.12085553501324728
Tuckute2024,Reversed,nllb200_1B,German,0.22700605884802258,-0.010712686506629467,0.049239586028625944,0.01926344976099824,0.029976136267627705
Tuckute2024,contentwords,nllb200_1B,German,0.2122715725618705,-0.0613929233835023,0.12393389041863179,0.03127048351756474,0.09266340690106704
Tuckute2024,functionwords,nllb200_1B,German,0.16522366854569628,0.053268241212888166,-0.1422331808878514,-0.04448246983748161,0.09775071105036978
Tuckute2024,intact,nllb200_1B,German,0.13345551509924922,0.01872660126930687,0.26835594972533755,0.1435412754973222,0.12481467422801534
Tuckute2024,nouns,nllb200_1B,German,0.1099193756236903,-0.21779788054444432,0.020791627127482004,-0.09850312670848116,0.11929475383596316
Tuckute2024,nounsverbs,nllb200_1B,German,0.11833531413950817,-0.11380255850145905,0.029769213092230726,-0.042016672704614164,0.07178588579684489
Tuckute2024,nounsverbsadj,nllb200_1B,German,0.19895259844509353,-0.10268758045780359,0.09258800598511038,-0.005049787236346602,0.09763779322145699
Tuckute2024,verbs,nllb200_1B,German,-0.09794208196787078,0.07625753308258112,-0.1138637811512498,-0.01880312403433434,0.09506065711691547
Tuckute2024,1LocalWordSwap,nllb200_1B,Hindi,0.08865599063416965,0.03667010680274469,-0.0285165293303195,0.004076788736212596,0.032593318066532095
Tuckute2024,2LocalWordSwap,nllb200_1B,Hindi,0.13248563725996404,0.12750445531956656,-0.05373001768427832,0.03688721881764412,0.09061723650192244
Tuckute2024,3LocalWordSwaps,nllb200_1B,Hindi,0.10875707310774013,0.08734857161373288,-0.11777855007497398,-0.015214989230620549,0.10256356084435343
Tuckute2024,4LocalWordSwaps,nllb200_1B,Hindi,0.1144266035805713,0.09708835713398883,-0.11664797922854382,-0.009779811047277494,0.10686816818126632
Tuckute2024,5LocalWordSwaps,nllb200_1B,Hindi,0.07034374828002665,0.033440083897134494,-0.14547566513375373,-0.056017790618309624,0.08945787451544411
Tuckute2024,Reversed,nllb200_1B,Hindi,0.08936608249397685,0.014319558223189385,-0.07086414307056742,-0.028272292423689015,0.0425918506468784
Tuckute2024,contentwords,nllb200_1B,Hindi,0.038928384088612024,0.11432988241854865,-0.016866991778622085,0.04873144531996328,0.06559843709858537
Tuckute2024,functionwords,nllb200_1B,Hindi,-0.16049544346896336,-0.04799688926324984,0.022035923833360668,-0.012980482714944586,0.035016406548305255
Tuckute2024,intact,nllb200_1B,Hindi,0.06286795479646591,0.03833900274701015,-0.039993528478427784,-0.0008272628657088159,0.039166265612718965
Tuckute2024,nouns,nllb200_1B,Hindi,-0.09249696468781432,0.02978589534538914,0.042407782936781116,0.03609683914108513,0.006310943795695988
Tuckute2024,nounsverbs,nllb200_1B,Hindi,0.0666958726105949,0.08692146190404591,0.00760882839464148,0.0472651451493437,0.039656316754702214
Tuckute2024,nounsverbsadj,nllb200_1B,Hindi,0.05533561013990831,0.08483240118095742,0.020876801109489595,0.05285460114522351,0.031977800035733916
Tuckute2024,verbs,nllb200_1B,Hindi,-0.1281460796984854,0.04497474113862649,0.02879536295037233,0.03688505204449941,0.00808968909412708
Tuckute2024,1LocalWordSwap,nllb200_1B,Italian,0.07271012459668857,0.11910240214159142,0.2707582323356601,0.1541902530246467,0.084573956607774
Tuckute2024,2LocalWordSwap,nllb200_1B,Italian,-0.013870482000310977,0.05301908889254315,0.2750309010501721,0.10472650264746808,0.12348075358812734
Tuckute2024,3LocalWordSwaps,nllb200_1B,Italian,-0.013979665515850708,-0.0005973897851017198,0.22402751508216437,0.06981681992707064,0.10918020333710192
Tuckute2024,4LocalWordSwaps,nllb200_1B,Italian,0.019120394404924322,0.10187812935192785,0.21049323205214546,0.11049725193633253,0.07836499092018562
Tuckute2024,5LocalWordSwaps,nllb200_1B,Italian,0.006199154328256408,-0.004966547545953207,0.1762243617719795,0.05915232285142757,0.0829078401895637
Tuckute2024,Reversed,nllb200_1B,Italian,-0.005194535368382269,0.08773808303416555,0.21013803235568598,0.09756052667382309,0.08818310110200933
Tuckute2024,contentwords,nllb200_1B,Italian,0.062449432855080006,0.09094214959466344,0.19845581005483415,0.11728246416819253,0.05856502248854005
Tuckute2024,functionwords,nllb200_1B,Italian,0.027043254229547217,0.1097390437293875,0.04245344105977584,0.05974524633957018,0.035906390309861896
Tuckute2024,intact,nllb200_1B,Italian,-0.016211275472107736,0.021539251543830136,0.03951728270013536,0.014948419590619252,0.023223513204880235
Tuckute2024,nouns,nllb200_1B,Italian,0.0923514792711938,0.1808760630401191,0.18256472187253156,0.15193075472794815,0.042134549877955896
Tuckute2024,nounsverbs,nllb200_1B,Italian,0.04666348533979938,0.1583465648030173,0.19479702779038888,0.13326902597773518,0.06302141866006243
Tuckute2024,nounsverbsadj,nllb200_1B,Italian,0.10130836943246549,0.13624315507840326,0.23183908824189242,0.15646353758425371,0.05517375607864424
Tuckute2024,verbs,nllb200_1B,Italian,0.04461611904306213,0.06768310744652976,0.1432779303517297,0.08519238561377386,0.042138417697948974
Tuckute2024,1LocalWordSwap,nllb200_1B,Korean,0.3761275147936687,0.08127593158456464,-0.23495945476087304,0.3761275147936687,0.0
Tuckute2024,2LocalWordSwap,nllb200_1B,Korean,0.4137282061418104,0.11308968380745858,-0.3538827726021049,0.4137282061418104,0.0
Tuckute2024,3LocalWordSwaps,nllb200_1B,Korean,0.35519818808686976,0.11958704746752336,-0.2927715993616031,0.35519818808686976,0.0
Tuckute2024,4LocalWordSwaps,nllb200_1B,Korean,0.3792786506098462,0.10258940180130065,-0.18415242910080634,0.3792786506098462,0.0
Tuckute2024,5LocalWordSwaps,nllb200_1B,Korean,0.3195838004464969,0.09682904419609485,-0.19414366171105357,0.3195838004464969,0.0
Tuckute2024,Reversed,nllb200_1B,Korean,0.33635879192722923,0.16111134100452967,-0.3305427654157497,0.33635879192722923,0.0
Tuckute2024,contentwords,nllb200_1B,Korean,0.34765168320484924,0.060629206830117334,-0.35437540909882215,0.34765168320484924,0.0
Tuckute2024,functionwords,nllb200_1B,Korean,0.3640529178199938,0.1454932047542346,0.033853506841420446,0.3640529178199938,0.0
Tuckute2024,intact,nllb200_1B,Korean,0.23479559919982387,0.13116393324982156,-0.35869045912580805,0.23479559919982387,0.0
Tuckute2024,nouns,nllb200_1B,Korean,0.36550755681336583,-0.003866325081833388,-0.3127335804430662,0.36550755681336583,0.0
Tuckute2024,nounsverbs,nllb200_1B,Korean,0.3677885447335387,0.017429899814329457,-0.23523298124544526,0.3677885447335387,0.0
Tuckute2024,nounsverbsadj,nllb200_1B,Korean,0.3802160813084636,0.04036946268477619,-0.2653406146652488,0.3802160813084636,0.0
Tuckute2024,verbs,nllb200_1B,Korean,-0.1313242023075149,0.058266015765087775,0.10142833216546167,-0.1313242023075149,0.0
Tuckute2024,1LocalWordSwap,nllb200_1B,Portuguese,0.2545215313864293,0.19955887048227366,-0.09415613245696555,0.08018269946473187,0.1743388319216974
Tuckute2024,2LocalWordSwap,nllb200_1B,Portuguese,0.21661309472384147,0.19814026018871753,-0.1339591917465825,0.041326951488629485,0.17528614323521197
Tuckute2024,3LocalWordSwaps,nllb200_1B,Portuguese,0.18536712729575622,0.19891458488933816,-0.06967610397409596,0.05784551166083013,0.1275216156349261
Tuckute2024,4LocalWordSwaps,nllb200_1B,Portuguese,0.2536754104714326,0.26545708140380353,-0.1506285750662061,0.05152341770261325,0.20215199276881934
Tuckute2024,5LocalWordSwaps,nllb200_1B,Portuguese,0.19293460351100752,0.16178034341163522,-0.016887039462612767,0.08802378202419738,0.10491082148681015
Tuckute2024,Reversed,nllb200_1B,Portuguese,0.18439931954639954,0.30452211717126354,-0.20843243762585842,-0.012016559039729438,0.19641587858612897
Tuckute2024,contentwords,nllb200_1B,Portuguese,0.2753904631405048,0.19971361151413833,-0.08176341656096472,0.09681352328977004,0.17857693985073475
Tuckute2024,functionwords,nllb200_1B,Portuguese,0.03220283608162127,0.1634631755734551,0.059893472742351364,0.046048154411986314,0.013845318330365047
Tuckute2024,intact,nllb200_1B,Portuguese,0.2492821521858549,0.17666893305951967,-0.13010594160946168,0.05958810528819661,0.18969404689765829
Tuckute2024,nouns,nllb200_1B,Portuguese,0.17521772340521188,0.13400277600596955,0.02717468868376095,0.10119620604448641,0.07402151736072546
Tuckute2024,nounsverbs,nllb200_1B,Portuguese,0.25920716682538214,0.29472619296985536,-0.08129138973492175,0.0889578885452302,0.17024927828015196
