train,condition,language,model,roi,r1,r2,r3,r_mean,r_sd
main,experimental,Arabic,nllb200_distilled_600M,AntTemp,-0.08712808642287426,0.18323456760631066,-0.12589895227443582,-0.009930823696999805,0.13750259708514778
main,experimental,Arabic,nllb200_distilled_600M,IFG,0.12399850087444392,0.3214293934897534,0.12967675100121823,0.19170154845513854,0.09176072494671252
main,experimental,Arabic,nllb200_distilled_600M,IFGorb,0.023322132099116346,0.21129254827297791,-0.10121149532998173,0.04446772834737084,0.12845244644762713
main,experimental,Arabic,nllb200_distilled_600M,MFG,0.3085859713198655,0.34869281105549577,0.2963367495015416,0.3178718439589676,0.022360081519865987
main,experimental,Arabic,nllb200_distilled_600M,PostTemp,0.03537937570450458,0.2539544117606826,-0.041258511180691404,0.08269175876149859,0.12507734583261193
main,experimental,Arabic,nllb200_distilled_1B,AntTemp,0.05167320718821292,0.0788457566521156,-0.01606313492676995,0.03815194297118619,0.03990858608288989
main,experimental,Arabic,nllb200_distilled_1B,IFG,0.086246393218557,0.1377442840987176,0.07659431561670135,0.10019499764465867,0.026842160064778596
main,experimental,Arabic,nllb200_distilled_1B,IFGorb,0.05748622556277771,0.04237228319759812,-0.17304332856612117,-0.02439493993524845,0.10529123228889391
main,experimental,Arabic,nllb200_distilled_1B,MFG,0.21574444211802027,0.16882501717471304,0.33621722345449095,0.2402622275824081,0.0705023830985461
main,experimental,Arabic,nllb200_distilled_1B,PostTemp,0.049742456302502014,0.19741878787013417,0.014333332906180659,0.08716485902627229,0.07929017645776178
main,experimental,Arabic,nllb200_1B,AntTemp,-0.31596342227075036,-0.008467982654519379,0.17063040126553433,-0.0512670012199118,0.2009431167744342
main,experimental,Arabic,nllb200_1B,IFG,0.11963246730224572,0.26811979931776947,0.125243786091273,0.17099868423709608,0.0687131960665639
main,experimental,Arabic,nllb200_1B,IFGorb,-0.053680087599747385,0.07740810449856658,0.14306872933791806,0.05559891541224576,0.08178938312537848
main,experimental,Arabic,nllb200_1B,MFG,0.12036194635029385,0.1568247395011137,0.1470121539701746,0.14139961327386072,0.015405827488122872
main,experimental,Arabic,nllb200_1B,PostTemp,-0.12983591784245682,0.1643206452245964,0.08587295074641796,0.040119226042852514,0.12437061119102202
main,experimental,Arabic,xlm_align,AntTemp,-0.2385044052665064,0.06404737659906562,-0.19962122230814414,-0.12469275032519496,0.1344001540494724
main,experimental,Arabic,xlm_align,IFG,0.22512261162038916,0.048010676419717506,0.021718201692863447,0.09828382991099004,0.09032858892568847
main,experimental,Arabic,xlm_align,IFGorb,0.05449371902556922,-0.06406512642162271,-0.28183360839505395,-0.09713500526370249,0.13928204109515133
main,experimental,Arabic,xlm_align,MFG,0.26582477907682933,0.10550301000404173,0.24612534357729132,0.20581771088605413,0.07138765696083055
main,experimental,Arabic,xlm_align,PostTemp,-0.07022193058871144,0.17912573678694316,-0.1682118085015173,-0.01976933410109519,0.14621887922109558
main,experimental,Arabic,infoxlm_base,AntTemp,-0.19615506535392502,0.13110827258832314,-0.12796898457738207,-0.06433859244766131,0.14097740526342523
main,experimental,Arabic,infoxlm_base,IFG,0.04846166353451885,0.2527159198743426,0.1581907945145428,0.15312279264113474,0.08346342029286546
main,experimental,Arabic,infoxlm_base,IFGorb,-0.03412388633016881,-0.07938114427188037,-0.07873519088490119,-0.06408007382898345,0.021183864788129694
main,experimental,Arabic,infoxlm_base,MFG,0.21227461095388186,0.32028393804417954,0.2733436648770356,0.26863407129169903,0.04422019816350149
main,experimental,Arabic,infoxlm_base,PostTemp,-0.06713449649259408,0.14414168503989944,-0.11817343075887889,-0.013722080737191176,0.1135545965949203
main,experimental,Arabic,infoxlm_large,AntTemp,-0.0406932082829371,0.19510711007147993,-0.075844675657268,0.026189742043758277,0.12030160522814243
main,experimental,Arabic,infoxlm_large,IFG,0.07025594912637644,0.17635391346675075,0.015785696496516746,0.08746518636321464,0.0666716154494318
main,experimental,Arabic,infoxlm_large,IFGorb,0.19986155302312425,-0.001507301150872291,-0.2753614180555909,-0.025669055394446316,0.19475978509660816
main,experimental,Arabic,infoxlm_large,MFG,0.20451623476841194,0.3224503529789686,0.045744172625208586,0.19090358679086306,0.11337417607260304
main,experimental,Arabic,infoxlm_large,PostTemp,0.01311601623052056,0.3460144391611132,-0.1141062945363054,0.08167472028510946,0.19399827202116385
main,experimental,Arabic,multiminilm,AntTemp,-0.14226962726994474,0.04271022874172484,0.031760886205184115,-0.022599504107678598,0.08473753913801363
main,experimental,Arabic,multiminilm,IFG,0.04211305746425911,0.13642778739362096,0.16697715889304104,0.11517266791697371,0.05314505956580347
main,experimental,Arabic,multiminilm,IFGorb,0.02305570597490982,-0.05366948923828232,-0.1344561876172486,-0.0550233236268737,0.0643110866876034
main,experimental,Arabic,multiminilm,MFG,0.21552970102378483,0.294913569096442,0.31830590574924195,0.2762497252898229,0.0439847804258903
main,experimental,Arabic,multiminilm,PostTemp,-0.08708603465580288,0.281195341703945,-0.00884379485929023,0.06175517072961729,0.15842128118832474
main,experimental,Arabic,xlmr_base,AntTemp,-0.09441000279365058,0.14548343718047804,-0.07300499470410013,-0.007310520105757556,0.10839446059099582
main,experimental,Arabic,xlmr_base,IFG,0.07077279453713635,0.1647900452613184,0.09767079734588287,0.11107787904811255,0.039535833857916154
main,experimental,Arabic,xlmr_base,IFGorb,0.022769255468057265,0.014778006343577364,0.043192449147864805,0.026913236986499816,0.011964519131956387
main,experimental,Arabic,xlmr_base,MFG,0.3381635364969578,0.35918648357696203,0.06414350613776566,0.25383117540389516,0.13440374493714716
