train,model,roi,r,r_random,SE,z,p,sig
control,bert_base,AntTemp,0.04717144257196179,-0.003969881937272954,0.034953263873270475,4.758510869712822,1.9502639213316063e-06,***
control,bert_base,IFG,0.04744404750002621,0.006686783910844804,0.018805752506450567,3.4468023603934377,0.0005672634023767619,***
control,bert_base,IFGorb,0.09306380649275088,0.01711885505936429,0.03721033402079691,5.372297600867594,7.773966646877154e-08,***
control,bert_base,MFG,0.007862827995892859,-0.009382730475140802,0.025037812689650232,1.3484642300921212,0.17750911748549703,
control,bert_base,PostTemp,0.057834738943469036,-0.040655717867787294,0.03713405964414156,7.967492928021778,1.6192572330710238e-15,***
main,bert_base,AntTemp,0.0792612696790574,-0.012982536079932374,0.02851236531198069,6.310994111602341,2.7724874415906047e-10,***
main,bert_base,IFG,0.061671335549189105,-0.021786040325462958,0.040610353751560795,7.125085620790926,1.040160077952125e-12,***
main,bert_base,IFGorb,0.07445931871580626,-0.006391977793827875,0.037348193507072545,5.77738899669136,7.586874235065548e-09,***
main,bert_base,MFG,0.02602978443051064,-0.023052192131702665,0.06395465427337761,5.593501622113038,2.2253514551264397e-08,***
main,bert_base,PostTemp,0.07840207835095436,-0.02461160255196388,0.02473683535556798,8.255191145142957,1.5165932387625897e-16,***
natstor,bert_base,AntTemp,0.1741488062598318,-0.03489680598307923,0.023279443850535503,15.511117021150847,2.9175873207322976e-54,***
natstor,bert_base,IFG,0.08465990944301428,-0.009882916074484141,0.029854349278041262,6.568373397386364,5.0867854579203946e-11,***
natstor,bert_base,IFGorb,0.11747902776915588,0.00217924834895335,0.026483114149134717,8.219226941627229,2.048191366444927e-16,***
natstor,bert_base,MFG,0.06617100801191143,-0.008293158322156274,0.03250011566873486,5.903017951082144,3.569114214582694e-09,***
natstor,bert_base,PostTemp,0.1657448754678087,-0.03631445942873586,0.02212228555450485,15.484818590459815,4.392999707280522e-54,***
pereira,bert_base,AntTemp,0.0369734368276378,0.02177096738422853,0.06303622775293062,-0.11935074733559829,0.9049974802239817,
pereira,bert_base,IFG,0.051159452516149354,0.03809613480687968,0.03753450826467831,0.7909184718819526,0.4289915684357458,
pereira,bert_base,IFGorb,0.10395417718444433,0.0068563927671412145,0.05687542749761574,6.505961399326348,7.719804898520993e-11,***
pereira,bert_base,MFG,0.010544280606642996,0.05239017912590796,0.04905148946322679,-4.179868842056701,2.916772742340479e-05,***
pereira,bert_base,PostTemp,-0.0012937294818788645,0.045138141291407044,0.047505808629470035,-3.8953286712867228,9.80656605433012e-05,***
control,distilmbert,AntTemp,0.06737012011879717,-0.009316088598275409,0.03045394748980226,5.316658863551493,1.0568994911199878e-07,***
control,distilmbert,IFG,0.0890401632049336,-0.0029823665368542735,0.03501728683352003,5.846039637173426,5.034141396165498e-09,***
control,distilmbert,IFGorb,0.14528723489956996,-0.0013022617461785771,0.046504184385555626,9.640445068317183,5.395353757983905e-22,***
control,distilmbert,MFG,0.010919820948726934,-0.0058423689040924985,0.028745925051625234,1.5642673475839708,0.11775479691602245,
control,distilmbert,PostTemp,0.05950054295783988,-0.03549845793656756,0.018872598017061364,7.001276292740495,2.5364117881822547e-12,***
main,distilmbert,AntTemp,0.07714996151913896,-0.01564831862206413,0.041254376040285194,6.937125830467679,4.0015739111687345e-12,***
main,distilmbert,IFG,0.023386930720780085,-0.014083515385638266,0.06071013132341666,4.512307217947426,6.412621223961032e-06,***
main,distilmbert,IFGorb,0.06719466455638876,-0.0015407923560375415,0.03755869846490859,5.789953549988096,7.04058921750689e-09,***
main,distilmbert,MFG,0.04385913506134573,-0.016163857449414107,0.05938047364460863,6.23632921586227,4.4795786462465276e-10,***
main,distilmbert,PostTemp,0.09743341553632974,-0.03210564836161933,0.03269670529751691,10.404416618213325,2.367014586934401e-25,***
natstor,distilmbert,AntTemp,0.07427392070281297,-0.024919968468641866,0.027249813657754432,7.9809800700152485,1.451759086738746e-15,***
natstor,distilmbert,IFG,0.07254732741177249,-0.00735250038243527,0.033467817944713936,6.811553660747403,9.655026976682923e-12,***
natstor,distilmbert,IFGorb,0.04965644912680582,0.03259419627447739,0.05153035913089593,3.100980167556987,0.0019288120869365862,**
natstor,distilmbert,MFG,0.0676873748704559,0.006069706398633547,0.03595990588345016,5.017976834705077,5.221847165695928e-07,***
natstor,distilmbert,PostTemp,0.1114812346875013,-0.04691650508571305,0.03461402866507523,12.897973098061408,4.6209190273905805e-38,***
pereira,distilmbert,AntTemp,0.026182446588415634,-0.0018669799045140127,0.08160227286092074,-0.371523368076173,0.710247754229703,
pereira,distilmbert,IFG,0.03072738349277879,0.003597209140561433,0.05764791469579089,0.48430507508121795,0.6281693747131272,
pereira,distilmbert,IFGorb,0.12436222988407919,-0.003869958389107938,0.05366458668337343,8.086625289245024,6.134061359794201e-16,***
pereira,distilmbert,MFG,-0.04781249061649191,0.0207034866185701,0.052431480483207414,-5.6337892650176835,1.7629242529244234e-08,***
pereira,distilmbert,PostTemp,-0.027512602581928225,0.023526847499608577,0.060572065743819646,-5.4388295956917,5.3631719539201765e-08,***
control,infoxlm_base,AntTemp,0.12142824408702407,0.019251883194181373,0.048825992155544916,7.828770958881325,4.926622148669491e-15,***
control,infoxlm_base,IFG,0.07368115671257267,0.007081577884846996,0.03683342423330121,4.520224548078665,6.177407363012443e-06,***
control,infoxlm_base,IFGorb,0.11757547724555661,0.018865053208301653,0.03387547214987379,7.22071246389035,5.171590022840625e-13,***
control,infoxlm_base,MFG,0.01901945721315862,0.003913662964942712,0.04718167004838211,0.8711017149170459,0.38369861784794834,
control,infoxlm_base,PostTemp,0.09870765493091392,-0.020385115721193576,0.04036306941104497,8.821064753612022,1.1337642707704365e-18,***
main,infoxlm_base,AntTemp,0.05304226672410369,0.0020239218716099636,0.05114659029656574,5.413997020386554,6.16331920121175e-08,***
main,infoxlm_base,IFG,0.06556142886079516,-0.011265238369182444,0.05465002662506535,7.265925264291461,3.704933948984107e-13,***
main,infoxlm_base,IFGorb,0.06637907239828339,-0.0046449831401378485,0.05232306190089442,6.504652936375773,7.787295616159557e-11,***
main,infoxlm_base,MFG,0.0692825725198883,-0.02326322942317311,0.0632034183600783,8.0715242721688,6.942591682291124e-16,***
main,infoxlm_base,PostTemp,0.1212292343973389,-0.029184979566391378,0.04161544314644346,12.670862470334711,8.576618539228436e-37,***
natstor,infoxlm_base,AntTemp,0.15586763556678265,-0.015576711730291161,0.056225980378121355,13.451102285698349,3.033167590664593e-41,***
natstor,infoxlm_base,IFG,0.09714704931031251,0.022449826524994068,0.0514439291506405,5.9305231523568365,3.0197099841321634e-09,***
natstor,infoxlm_base,IFGorb,0.1041382802808462,0.04692177511192359,0.04822662930536209,4.6836958545502245,2.8174798292779807e-06,***
natstor,infoxlm_base,MFG,0.07088826844644223,0.0077482489415326644,0.05177639303275744,5.563096314344764,2.6502951576686854e-08,***
