,train,model,r,r_random,SE,z,p,sig
36,control,multiminilm,0.07378652627949855,-0.016435478429477377,0.0404594945909531,6.577067076315256,4.7981835928009733e-11,***
37,main,multiminilm,0.04136476673805896,-0.013716378818605102,0.04818195764571675,5.985699386393951,2.1546199487299557e-09,***
38,natstor,multiminilm,0.11125206074036763,0.002435111977593939,0.05637979300785434,7.800645070475423,6.1591517346673164e-15,***
39,pereira,multiminilm,0.05593596179048399,-0.014226888818932906,0.03607712133258608,4.519109420112776,6.210029612470408e-06,***
40,control,nllb200_1B,0.07431976399468636,0.005705531912417491,0.02434301358006018,4.917027937182631,8.786801593695705e-07,***
41,main,nllb200_1B,0.10049133463966232,0.005397847788313206,0.03366973507294944,7.663795228351174,1.8051763051285877e-14,***
42,natstor,nllb200_1B,0.10604487406492748,-0.006284449375472147,0.05436468738810457,8.689285406076673,3.6472632865990396e-18,***
43,pereira,nllb200_1B,0.006410339272400496,-0.006861316556638011,0.03256827975949737,0.02542515387144384,0.9797158477028056,
44,control,nllb200_distilled_1B,0.027787515010759087,-0.027793803952641347,0.03633843579293137,4.79440386614197,1.6315928188089569e-06,***
45,main,nllb200_distilled_1B,0.11255744733057986,0.013941755348923264,0.03688026754654083,8.817931015889707,1.1659404602651505e-18,***
46,natstor,nllb200_distilled_1B,0.08440387844910625,-0.0032514893142410618,0.04426522892626006,7.310069722809466,2.6700380475602457e-13,***
47,pereira,nllb200_distilled_1B,0.0015687660076905534,-0.0029574114655058145,0.03949673000946017,-0.6878354086434874,0.4915564354311165,
48,control,nllb200_distilled_600M,0.032249825665141084,-0.025797531958121664,0.025495280560116945,3.6240974080165267,0.00028997231333694276,***
49,main,nllb200_distilled_600M,0.05864117946472231,-0.01183630423566391,0.054359489210638594,6.776329525491884,1.2326735351728675e-11,***
50,natstor,nllb200_distilled_600M,0.05693332200165438,0.006546589912736032,0.026637243333344846,4.206788344777105,2.5902552673787856e-05,***
51,pereira,nllb200_distilled_600M,0.014338867502268114,-0.03153914016162448,0.043755938703469756,1.9157208839231235,0.05540063273880365,
52,control,xglm_large,0.08538654204868878,-0.03304450982551555,0.05372763851263962,7.519241165305396,5.509507544099572e-14,***
53,main,xglm_large,0.10445880740793455,0.006513571092780385,0.06192808420395914,7.915206912253652,2.4684222825386648e-15,***
54,natstor,xglm_large,0.14709831810388085,-0.04541034040071199,0.04603591593303113,14.091427993555618,4.288021975022697e-45,***
55,pereira,xglm_large,0.00537552616460356,-0.03112016079515337,0.03443685168384464,1.908325322216376,0.056349182125614794,
56,control,xglm_med,0.14496184394370573,-0.033225794910486224,0.06392986668161417,11.927063158111855,8.553826392425736e-33,***
57,main,xglm_med,0.10403329558566744,0.010465853377219822,0.0626290640666652,8.68946414992084,3.641529811233296e-18,***
58,natstor,xglm_med,0.1586035095195234,-0.044429442962156916,0.04253938670952522,14.69995448471398,6.450305579649091e-49,***
59,pereira,xglm_med,0.019057010259365726,-0.035581506450469855,0.03447710240959439,3.812555033354189,0.00013753759192867968,***
60,control,xglm_small,0.09461479795916386,-0.035349494620652656,0.10540649045143811,6.228608425011738,4.705963529071996e-10,***
61,main,xglm_small,0.05610504831469728,0.004280827338113638,0.07272216765242331,6.027105620187844,1.6692192611442985e-09,***
62,natstor,xglm_small,0.1156771883664898,-0.036492329413366775,0.05576206508488873,12.248278413960728,1.7160003338720532e-34,***
63,pereira,xglm_small,0.06710234559746318,-0.0467391491825547,0.08218204285812362,8.045961173662787,8.557112091238218e-16,***
64,control,xglm_xl,0.09734237337111878,0.0027237475358576476,0.04495423662041389,5.49779103977195,3.845782602454467e-08,***
65,main,xglm_xl,0.16388731927784292,0.013643551782297345,0.0572727959578672,12.456448117177553,1.2898868416503916e-35,***
66,natstor,xglm_xl,0.18924108690969504,-0.03709478347508932,0.04136826202344528,16.627067172786553,4.437921256425155e-62,***
67,pereira,xglm_xl,0.08077516012674896,-0.030954431274058454,0.06482745213545418,7.197191198257271,6.146554629852298e-13,***
68,control,xlm_align,0.08745110718579957,-0.012551001430414047,0.04314508313369881,6.626220566666999,3.4439046605796234e-11,***
69,main,xlm_align,0.08520921218302152,-0.02288766136943879,0.047824919993330016,9.538213343465678,1.4531413059123428e-21,***
70,natstor,xlm_align,0.1200332318304796,0.01808436731419953,0.04950270595229982,7.821338526723214,5.226458238360687e-15,***
71,pereira,xlm_align,0.07041651098215498,-0.04345846508243175,0.05400090210543975,7.3514725246924115,1.9603506618863662e-13,***
72,control,xlmr_base,0.10659070678324227,0.020119999105979423,0.03993944660960948,5.804545788740651,6.454072189155668e-09,***
73,main,xlmr_base,0.13167341508218192,-0.041265186634021164,0.04115920673609553,13.79592221452652,2.696818922700599e-43,***
74,natstor,xlmr_base,0.1258009814901997,-0.016655065339802426,0.04744606052685948,10.104441770784305,5.279538349037031e-24,***
75,pereira,xlmr_base,0.06893522410197658,-0.05485927084729278,0.036467921097024285,8.77204551009533,1.7544945871031205e-18,***
76,control,xlmr_large,0.1298262481075623,-0.03335998970392492,0.0371898687378338,11.668703165350735,1.8420982309319041e-31,***
77,main,xlmr_large,0.17077353620110877,-0.016677647366122986,0.05606254598975194,14.674568181154534,9.381086356885951e-49,***
78,natstor,xlmr_large,0.13973457227161365,-0.018290055642497145,0.058453400981551336,11.854256575560632,2.0453138584416732e-32,***
79,pereira,xlmr_large,0.03023095354837975,-0.029885915157059004,0.023374924632392824,4.24340562015649,2.2015298602907796e-05,***
