,train,model,r,r_random,SE,z,p,sig
0,control,bert_base,0.03562462925539886,-0.003543769925923479,0.040402636784065235,2.8258966006451907,0.004714848085575114,**
1,main,bert_base,0.06727895077047558,-0.02155237721890642,0.02255632362034275,7.026582226770617,2.1165387125337313e-12,***
2,natstor,bert_base,0.1249970787789656,-0.024885449037075562,0.02452594453917786,10.905936322450936,1.0797586315741966e-27,***
3,pereira,bert_base,0.049968188166884836,-0.035702889474773486,0.05934200330989558,5.671331986807601,1.4169151741446928e-08,***
4,control,distilmbert,0.06628177517580634,0.017225424728440977,0.02839607419361878,3.057841958632393,0.0022293711801961,**
5,main,distilmbert,0.06294295136212834,-0.021671352434108476,0.04396287608758709,7.473612660920231,7.802258013929529e-14,***
6,natstor,distilmbert,0.040691688839857514,-0.007151447082113002,0.033215828881588055,4.346230268757105,1.3849717589539645e-05,***
7,pereira,distilmbert,0.018680645230099383,-0.03454995093668546,0.0734732868417896,3.2930507553091495,0.0009910658201598619,***
8,control,infoxlm_base,0.0765074271585078,-0.04104806457295426,0.04271988161027667,8.13797024172213,4.0195960457509033e-16,***
9,main,infoxlm_base,0.09147574851970382,-0.013538431151952137,0.048677048371016614,9.460547575369235,3.0633476343656066e-21,***
10,natstor,infoxlm_base,0.1295556637349972,0.011929192655209317,0.04962532584678337,9.301863767274943,1.380050194406465e-20,***
11,pereira,infoxlm_base,0.05260772020777789,-0.047106250558759104,0.044408346808630705,6.517181190727023,7.164087018796548e-11,***
12,control,infoxlm_large,0.09418698212542377,-0.016688561124648924,0.027568304729103987,8.313953804603377,9.256519611667879e-17,***
13,main,infoxlm_large,0.1474621236701016,-0.02127153458266377,0.038997291095319804,13.236384359931847,5.409079958699359e-40,***
14,natstor,infoxlm_large,0.09744700936079216,-0.01601846187939647,0.05237126432040212,8.230634441950352,1.8622446599249931e-16,***
15,pereira,infoxlm_large,0.053279089972289966,-0.049065646593220574,0.03324468583345065,7.115204998370442,1.1174661729735607e-12,***
16,control,mdeberta,0.10418275463406008,-0.019658867899462515,0.02534413365099077,9.020307744604027,1.8756165686423516e-19,***
17,main,mdeberta,0.12702680931547966,-0.022284739548105496,0.03948548847074251,11.640846674364182,2.5546687594338356e-31,***
18,natstor,mdeberta,0.16315538233182653,-0.03120640757234931,0.04394565242058987,15.069951021060286,2.5530223940998694e-51,***
19,pereira,mdeberta,0.03153035965950404,-0.046502921361496,0.023055080614530907,5.973577189489416,2.3210688692133143e-09,***
20,control,mgpt,0.1731927779621595,0.030292911391710125,0.060394624131896286,10.272006389509219,9.422432427233155e-25,***
21,main,mgpt,0.12538518088400405,0.007998304273529312,0.058945283501063005,10.013318953667396,1.3320715312438238e-23,***
22,natstor,mgpt,0.21128543794858898,-0.0511612154691774,0.10433119020954464,18.15704228084157,1.1294820395535712e-73,***
23,pereira,mgpt,0.10964287735003175,0.04017251375518091,0.025686623537458025,5.8604659960562655,4.615700508175504e-09,***
24,control,mt5_base,0.09088759259886797,0.01594772159854762,0.039493124116938935,5.404754453394204,6.489723472902976e-08,***
25,main,mt5_base,0.06993506743738195,-0.01832492755604104,0.0438490795164064,7.669666488810873,1.7244413809254387e-14,***
26,natstor,mt5_base,0.0844801696534959,-0.023622122997534006,0.03032872004780285,8.865573213281847,7.611148373299021e-19,***
27,pereira,mt5_base,0.020301142594655697,-0.016383916890743186,0.0366938433038712,2.048331641468196,0.04052751462213279,*
28,control,mt5_large,0.08319776390186384,0.016290052586694456,0.033400643343869926,4.764494186243274,1.893279758259382e-06,***
29,main,mt5_large,0.1597336798097509,-0.0236263733141485,0.04200416305949727,14.28174249243265,2.8440031047890136e-46,***
30,natstor,mt5_large,0.13930017960075444,-0.030034806523551325,0.04352506347778076,12.62896301087512,1.4619208394513698e-36,***
31,pereira,mt5_large,0.10305164228097635,-0.0006149406149560931,0.046597487869903365,7.162504569269966,7.921622707117943e-13,***
32,control,mt5_small,0.07008061978554496,0.003143831988484096,0.02474867827909615,5.2886622784439075,1.2321414652685662e-07,***
33,main,mt5_small,0.08043078744943985,-0.02161326670646814,0.03633707657096338,8.713254444215478,2.952728769230315e-18,***
34,natstor,mt5_small,0.06610520222113472,-0.024586063406961556,0.024165047944307964,7.419191833989764,1.178371341900538e-13,***
35,pereira,mt5_small,-0.03231843553832016,-0.036288823854495715,0.029721009840355573,-0.5811796001963567,0.5611194149829177,
